_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,result1,result2,result1_gold,result2_gold,sentence
942754373,4/29/2016 06:24:57,1971732244,4/29/2016 06:23:46,false,clixsense,1,6405789,NPL,00,Kathmandu,113.199.230.110,"Current cancer medicines, tests, and treatments used by most health care providers have been tested through clinical trials.",treatment practise,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:29:28,1971733720,4/29/2016 06:28:02,false,neodev,1,37126390,VEN,13,Agua Viva,181.208.117.214,"Current cancer medicines, tests, and treatments used by most health care providers have been tested through clinical trials.",treatments,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:39:35,1971737412,4/29/2016 06:39:18,false,neodev,1,31450350,ROU,30,Ploiesti,95.77.99.177,"Current cancer medicines, tests, and treatments used by most health care providers have been tested through clinical trials.","Current cancer medicines, tests, and treatments used by most health care providers have been tested through clinical trials.",,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:50:24,1971741490,4/29/2016 06:49:53,false,neodev,1,37164650,MKD,41,Skopje,78.157.15.90,"Current cancer medicines, tests, and treatments used by most health care providers have been tested through clinical trials.",/,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:55:47,1971743371,4/29/2016 06:53:45,false,clixsense,1,9577516,ROU,27,Targu-mures,109.166.155.34,Current cancer medicines been tested through clinical trials.,test,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:55:54,1971743402,4/29/2016 06:51:53,false,clixsense,1,34319651,ARE,03,Dubai,2.51.120.183,Heath care providers using test and medicines for cancer treatment are tested in trials.,tested,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 06:55:57,1971743427,4/29/2016 06:53:37,false,neodev,1,36114575,ROU,04,Bacau,5.13.16.254,All medicines used by most health care providers have been tested throuh clinical trials.,healt care providers give treatments,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 07:00:43,1971745461,4/29/2016 06:55:15,false,instagc,1,27748798,USA,"","",192.180.10.103,Health care providers use clinical trials to prove cancer treatments.,one is studied by the other,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 07:06:19,1971747384,4/29/2016 06:59:45,false,clixsense,1,30990807,IND,25,Pudukkottai,14.102.3.3,"ancer medicines, tests, and treatments by most health care providers tested through clinical trials",test conducted on the medicines,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 07:28:52,1971755750,4/29/2016 07:28:19,false,clixsense,1,34805760,BGR,65,Yambol,87.121.119.118,treatments used by most health care providers have been tested through clinical trials.,treat,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754373,4/29/2016 07:41:08,1971760341,4/29/2016 07:32:01,false,clixsense,1,31275478,PHL,D9,Makati,122.53.109.202,Treatments used by most health care providers have been tested.,used by,,," Current cancer medicines, tests, and <b><font color=""purple"">treatments</font></b> used by most <b><font color=""purple"">health care providers</font></b> have been tested through clinical trials.		"
942754374,4/29/2016 11:32:33,1971869311,4/29/2016 11:31:57,false,elite,1.0,36752296,BGR,39,Burgas,95.42.180.40,learn better ways to help other people with the same cancer.,people with the same cancer.,,," - You will help researchers understand your cancer and learn better ways to help other <b><font color=""purple"">people</font></b> with the same <b><font color=""purple"">cancer</font></b>.		"
942754374,4/29/2016 11:51:43,1971879747,4/29/2016 11:49:20,false,neodev,1.0,32265020,PRT,17,Ermesinde,37.189.195.206,You will help reseaschers to help other people with the same cancer.,Health.,,," - You will help researchers understand your cancer and learn better ways to help other <b><font color=""purple"">people</font></b> with the same <b><font color=""purple"">cancer</font></b>.		"
942754374,4/29/2016 12:42:35,1971907221,4/29/2016 12:42:16,false,clixsense,1.0,22045386,TWN,04,Tainan,118.171.144.55,"To reduce the risk of aneurysms: - Eat a heart-healthy diet, exercise, stop smoking (if you smoke), and reduce stress.","To reduce the risk of aneurysms: - Eat a heart-healthy diet, exercise, stop smoking (if you smoke), and reduce stress.",,," - You will help researchers understand your cancer and learn better ways to help other <b><font color=""purple"">people</font></b> with the same <b><font color=""purple"">cancer</font></b>.		"
942754374,4/29/2016 12:44:59,1971908532,4/29/2016 12:43:37,false,clixsense,1.0,34982264,PHL,"","",203.111.224.60,People with the same cancer.,treat,,," - You will help researchers understand your cancer and learn better ways to help other <b><font color=""purple"">people</font></b> with the same <b><font color=""purple"">cancer</font></b>.		"
942754374,4/29/2016 12:47:11,1971909663,4/29/2016 12:43:58,false,clixsense,1.0,32678935,GRC,35,Athens,193.92.127.10,You will help researchers understand your cancer and learn better ways to help people with  same cancer.,"help, learn",,," - You will help researchers understand your cancer and learn better ways to help other <b><font color=""purple"">people</font></b> with the same <b><font color=""purple"">cancer</font></b>.		"
