Sentence
" <b><font color=""purple"">Multiple myeloma</font></b> is a <b><font color=""purple"">blood cancer</font></b> that starts in the <b><font color=""purple"">plasma cells</font></b> in the <b><font color=""purple"">bone marrow</font></b>.		"
" With <b><font color=""purple"">multiple myeloma</font></b>, plasma cells grow out of control in the <b><font color=""purple"">bone marrow</font></b> and form <b><font color=""purple"">tumors</font></b> in the <b><font color=""purple"">areas</font></b> of solid bone.		"
" <b><font color=""purple"">Multiple myeloma</font></b> mainly affects <b><font color=""purple"">older adults</font></b>.		"
" As the cancer cells grow in the bone marrow, you may have <b><font color=""purple"">bone pain</font></b>, most often in the <b><font color=""purple"">ribs</font></b> or back.		"
" If <b><font color=""purple"">cancer</font></b> grows in the <b><font color=""purple"">spine</font></b> <b><font color=""purple"">bones</font></b>, pressure on the nerves may result.		"
" <b><font color=""purple"">Blood tests</font></b> can help diagnose this <b><font color=""purple"">disease</font></b>.		"
" These tests include:  - Albumin level  - Calcium level  - Total protein level  - Kidney function blood tests  - Complete blood count (CBC)  - Blood and urine tests to identify proteins, or antibodies (immunofixation)  - Blood tests to quickly and accurately measure the specific level of certain proteins called immunoglobulins (nephelometry)    <b><font color=""purple"">Bone x-rays</font></b> may show <b><font color=""purple"">fractures</font></b> or hollowed out areas of bone.		"
" <b><font color=""purple"">People</font></b> who have mild <b><font color=""purple"">disease</font></b> or in whom the diagnosis is not certain are usually closely monitored.		"
" Some people have a slow-developing form of <b><font color=""purple"">multiple myeloma</font></b> (<b><font color=""purple"">smoldering myeloma</font></b>) that takes years to cause symptoms.		"
" <b><font color=""purple"">Chemotherapy</font></b> is usually used to treat <b><font color=""purple"">multiple myeloma</font></b>.		"
" <b><font color=""purple"">Radiation therapy</font></b> may be used to relieve <b><font color=""purple"">bone pain</font></b> or to shrink a <b><font color=""purple"">tumor</font></b> that is pushing on the <b><font color=""purple"">spinal cord</font></b> (cord compression).		"
" Others may include:  - Bone fractures  - High levels of <b><font color=""purple"">calcium</font></b> in the <b><font color=""purple"">blood</font></b>, which can be very dangerous  - Increased chances for infection, especially in the lungs  - <b><font color=""purple"">Weakness</font></b> or loss of movement due to tumor pressing on <b><font color=""purple"">spinal cord</font></b>		"
