Sentence
"	Andrew ""Andy"" <b><font color=""purple"">Sydney</font></b> Withiel <b><font color=""purple"">Thomas</font></b>, AO (born 18 December 1951 in <b><font color=""purple"">Adelaide</font></b>, <b><font color=""purple"">South Australia</font></b>) is an <b><font color=""purple"">Australian-born</font></b> <b><font color=""purple"">American</font></b> aerospace engineer and a NASA <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> became a U.S. citizen in December 1986, hoping to gain entry to NASA's <b><font color=""purple"">astronaut</font></b> program.	"
"	<b><font color=""purple"">He</font></b> is married to fellow <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Shannon Walker</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> appears in the 1972 edition of the Adelaide University Engineering Society's (AUES) annual publication, Hysteresis.	"
"	The caption below a photograph of the 21-year-old <b><font color=""purple"">Thomas</font></b> reads: A.S.W. (Syd) Thomas: Hides his massive intellect behind a screen of silence and hair.	"
	null	
"	As a child, <b><font color=""purple"">Thomas</font></b> was fascinated by space.	"
	His father has described how he started building model rockets from cardboard and plastics.	
"	After completing his studies, <b><font color=""purple"">Thomas</font></b> accepted an offer from Lockheed in Atlanta.	"
	By 1990 he was the organization's principal aerodynamic scientist.	
"	His career continued in the field, steering towards more senior research positions.	"
"	<b><font color=""purple"">Thomas</font></b> was selected by <b><font color=""purple"">NASA</font></b> in March 1992 and reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1992.	"
	null	
"	While awaiting <b><font color=""purple"">space flight</font></b> assignment, <b><font color=""purple"">Thomas</font></b> supported <b><font color=""purple"">shuttle</font></b> launch and landing operations as an <b><font color=""purple"">Astronaut</font></b> Support <b><font color=""purple"">Person</font></b> (ASP) at <b><font color=""purple"">the Kennedy Space Center</font></b>.	"
	null	
"	In June 1995, <b><font color=""purple"">Thomas</font></b> was named as payload commander for <b><font color=""purple"">STS-77</font></b> and flew his first flight in space on Endeavour in May 1996.	"
"	Although <b><font color=""purple"">Paul D. Scully-Power</font></b> had entered orbit as an oceanographer in 1985, <b><font color=""purple"">Thomas</font></b> was the first Australia-born professional <b><font color=""purple"">astronaut</font></b> to enter space.	"
"	<b><font color=""purple"">He</font></b> next trained at the Gagarin Cosmonaut Training Center in Star City, Russia in preparation for a long-duration flight.	"
"	In 1998, he served as Board Engineer 2 aboard the Russian Space Station Mir for 130 days.	"
"	From August 2001 to November 2003, <b><font color=""purple"">Thomas</font></b> served as Deputy Chief of the Astronaut Office.	"
"	<b><font color=""purple"">Thomas</font></b> completed his fourth space flight on <b><font color=""purple"">STS-114</font></b> and has logged over 177 days in space.	"
"	<b><font color=""purple"">He</font></b> is currently working issues for the Exploration Branch of the Astronaut Office.	"
	null	
	null	
"	On 22 January 1998, <b><font color=""purple"">Thomas</font></b> launched aboard Space Shuttle Endeavour as part of the <b><font color=""purple"">STS-89</font></b> crew to dock with <b><font color=""purple"">the Mir Space Station</font></b>.	"
	null	
"	<b><font color=""purple"">STS-102</font></b> Discovery (821 March 2001) was the eighth <b><font color=""purple"">Shuttle</font></b> mission to visit the International Space Station and Thomas's third <b><font color=""purple"">flight</font></b>.	"
	null	
"	During the mission, <b><font color=""purple"">Thomas</font></b> performed an EVA of 6.5 hours to install components to the outside of the space station.	"
	Mission duration was 307 hours and 49 minutes.	
	null	
"	<b><font color=""purple"">Thomas</font></b> tested and evaluated new procedures for flight safety and inspection and repair techniques for the Shuttle's thermal protection system.	"
"	After a 2-week, 5.8 million mile journey in space, the orbiter Discovery and its crew returned to land at Edwards Air Force Base, California.	"
"	Mission duration was 333 hours, 32 minutes, 48 seconds.	"
