Sentence
	null	
"	<b><font color=""purple"">He</font></b> trained with <b><font color=""purple"">the Russian Federal Space Agency</font></b> as a research-cosmonaut and flew aboard <b><font color=""purple"">NASA</font></b> Space Shuttle mission <b><font color=""purple"">STS-106</font></b> as a mission specialist.	"
"	<b><font color=""purple"">Morukov</font></b> is married to Nina M. Morukova and they have a son (Ivan) and daughter (Olga).	"
"	<b><font color=""purple"">Morukov</font></b>s mother, Lidia F. Khromova, resides in <b><font color=""purple"">Moscow</font></b>.	"
"	His father, Vladimir D. Morukov, is deceased.	"
"	<b><font color=""purple"">He</font></b> enjoys reading, watching movies and cooking.	"
"	<b><font color=""purple"">Morukov</font></b> graduated from high school in 1967 and received his M.D. from the <b><font color=""purple"">2nd Moscow</font></b> Medical Institute (now <b><font color=""purple"">Russian</font></b> State <b><font color=""purple"">Medical University</font></b>) in 1973.	"
	null	
"	As a cosmonaut-physician, <b><font color=""purple"">Morukov</font></b> completed medical training in cardiology, gastroenterology, otolaryngology, stomatology, ophthalmology, and cardiopulmonary resuscitation between 1989-1991.	"
"	In 1995, he took an advanced course in emergency medical care.	"
"	In 1996, he completed a medical training course in endocrinology and hematology.	"
"	From October 1990 to February 1992, <b><font color=""purple"">Morukov</font></b> attended a basic space-training course at Gagarin Cosmonaut Training Center.	"
	1978-1984 Researcher in the Institute for Biomedical Problems (IBMP).	
	1984-1988 Senior Researcher in the Institute for Biomedical Problems.	
"	1988-1989 Chief of Department of Metabolism and Its Regulation, IBMP.	"
"	1989-1994 Cosmonaut-Researcher, Chief <b><font color=""purple"">Laboratory</font></b> of <b><font color=""purple"">Metabolism and Immunology</font></b>, IBMP.	"
"	1995-1998 Cosmonaut-Researcher, Chief Division of the <b><font color=""purple"">State</font></b> Research Center RF-Institute for Biomedical <b><font color=""purple"">Problems</font></b>.	"
"	For more than 20 years, <b><font color=""purple"">Morukov</font></b> has been involved in providing medical operations support for manned space flights.	"
	null	
	null	
	His specific scientific interest in this area is calcium metabolism correction.	
	null	
"	<b><font color=""purple"">Morukov</font></b> participated in a joint American-Russian medical experiment on STS-60, Mir 18/STS-71 and all other Mir-NASA Project Missions.	"
	From 1995 to 1998 he served as the Human Life-Sciences Experiments Coordinator for the NASA-Mir scientific program.	
"	<b><font color=""purple"">Morukov</font></b> has published more than 100 scientific papers and has patents for four inventions.	"
"	<b><font color=""purple"">Morukov</font></b> was first selected for medical-cosmonaut service in 1976.	"
"	Based on his qualifications, he was continually offered medical-cosmonaut selection and was chosen as a cosmonaut-researcher in 1989.	"
"	Upon completion of his basic cosmonaut-training in 1992, he became a cosmonaut-researcher in the Institute for Biomedical Problems.	"
	null	
"	From November 1997 to February 1998, he completed a regularly scheduled technical training course, which included ISS Russian-segment systems.	"
"	From August 1998 to January 1999, <b><font color=""purple"">Morukov</font></b> attended the Flight-Surgeon Training Course at Johnson Space Center.	"
"	<b><font color=""purple"">Morukov</font></b> served on the crew of <b><font color=""purple"">STS-106</font></b> (September 820, 2000).	"
"	The <b><font color=""purple"">STS-106</font></b> crew successfully prepared the International Space Station for the arrival of the first permanent crew.	"
	null	
	null	
"	<b><font color=""purple"">Morukov</font></b> logged 11 days, 19 hours, and 10 minutes in space.	"
"	In 1989, the ""Leader in Public Medical Service"" award was conferred upon <b><font color=""purple"">Boris</font></b> Morukov.	"
"	In 1996, he was awarded the medal ""For Merits to Motherland"" of the 2nd degree.	"
