Sentence
"	<b><font color=""purple"">Brent</font></b> Ward <b><font color=""purple"">Jett</font></b>, Jr. is a Captain in <b><font color=""purple"">the United States Navy</font></b> and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	Born October 5, 1958, in Pontiac, Michigan, but considers Fort Lauderdale, Florida, to be his hometown.	"
"	Married to Janet Leigh Lyon of <b><font color=""purple"">Patuxent River</font></b>, <b><font color=""purple"">Maryland</font></b>.	"
"	<b><font color=""purple"">Jett</font></b> was designated a Naval Aviator in March 1983, and reported to VF-101 at <b><font color=""purple"">Naval Air Station Oceana</font></b>, <b><font color=""purple"">Virginia</font></b> for initial F-14 Tomcat training.	"
"	Upon completion of this training, he was assigned to VF-74 and made overseas deployments to the Mediterranean Sea and Indian Ocean aboard the USS Saratoga.	"
"	While assigned to VF-74, he was designated as an airwing qualified Landing Signal Officer (LSO) and also attended the Navy Fighter Weapons School (TOPGUN).	"
	null	
	null	
"	<b><font color=""purple"">Jett</font></b> returned to the operational <b><font color=""purple"">Navy</font></b> in September 1991 and was again assigned to <b><font color=""purple"">VF-74</font></b>, flying the F-14B aboard the USS Saratoga.	"
"	<b><font color=""purple"">He</font></b> has logged over 4,000 flight hours in more than 30 different aircraft and has over 450 carrier landings.	"
"	Selected by <b><font color=""purple"">NASA</font></b> in March 1992, <b><font color=""purple"">Jett</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1992.	"
"	After two years of various technical assignments in the Astronaut Office, <b><font color=""purple"">Jett</font></b> was assigned to his first mission as the pilot of STS-72.	"
	A year later he again served as pilot on STS-81.	
"	From June 1997 to February 1998, he served as NASA Director of Operations at the Yuri Gagarin Cosmonaut Training Center, Star City, Russia.	"
	Two years later he was the Commander on STS-97.	
"	Finally, he served as the Commander of Space Shuttle Atlantis on STS-115.	"
	null	
"	<b><font color=""purple"">Jett</font></b> retired from <b><font color=""purple"">the U.S. Navy</font></b> in July 2007, but remained with <b><font color=""purple"">NASA</font></b>.	"
"	In November 2007, he was appointed as Director of Flight Crew Operations, a position he currently holds.	"
	null	
	null	
	null	
"	STS-97: Endeavour (November 30 to December 11, 2000) was the fifth American mission to build and enhance the capabilities of the International Space Station.	"
	STS-97 delivered the first set of U.S.-provided solar arrays and batteries as well as radiators to provide cooling.	
"	<b><font color=""purple"">Three</font></b> spacewalks were conducted to complete assembly <b><font color=""purple"">operations</font></b> while the arrays were attached and unfurled.	"
	A communications system for voice and telemetry was also installed.	
"	STS-115: Atlantis (September 9, 2006 - September 21, 2006) was the first assembly mission to the International Space Station after the Columbia disaster.	"
"	STS-115 delivered a new truss segment, including solar panels, to the station.	"
