Sentence
"	<b><font color=""purple"">Edwin</font></b> Eugene ""<b><font color=""purple"">Buzz</font></b>"" <b><font color=""purple"">Aldrin</font></b>, Jr. (born January 20, 1930) is a former American astronaut, and the second <b><font color=""purple"">person</font></b> to walk on the Moon.	"
"	<b><font color=""purple"">He</font></b> was the lunar module pilot on <b><font color=""purple"">Apollo 11</font></b>, the first manned lunar landing in history.	"
"	<b><font color=""purple"">He</font></b> set foot on the Moon at 03:15:16 (UTC) on July 21, 1969, following mission commander Neil Armstrong.	"
"	<b><font color=""purple"">He</font></b> is also a retired United States Air Force pilot.	"
"	<b><font color=""purple"">Aldrin</font></b> was born in Glen Ridge, New Jersey, to Edwin Eugene Aldrin, Sr., a career military man, and his wife Marion (ne Moon).	"
"	<b><font color=""purple"">He</font></b> is of Scottish, <b><font color=""purple"">Swedish</font></b>, and <b><font color=""purple"">German ancestry</font></b>.	"
	null	
"	The nickname ""Buzz"" originated in childhood: the younger of his two elder sisters mispronounced ""brother"" as ""buzzer"", and this was shortened to Buzz.	"
"	<b><font color=""purple"">Aldrin</font></b> made it his legal first name in 1988.	"
"	<b><font color=""purple"">Buzz</font></b> <b><font color=""purple"">Aldrin</font></b> graduated third in his class at West Point in 1951, with a Bachelor of Science degree in mechanical engineering.	"
"	<b><font color=""purple"">He</font></b> was commissioned as a Second Lieutenant in <b><font color=""purple"">the U.S. Air Force</font></b> and served as a jet fighter pilot during <b><font color=""purple"">the Korean War</font></b>.	"
"	<b><font color=""purple"">He</font></b> flew 66 combat missions in <b><font color=""purple"">F-86 Sabres</font></b> and shot down two Mikoyan-Gurevich MiG-15 <b><font color=""purple"">aircraft</font></b>.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> flew F-100 Super Sabres as a flight commander at Bitburg Air Base, Germany, in the 22d Fighter Squadron.	"
"	In 1963 <b><font color=""purple"">Aldrin</font></b> earned a Doctor of Science degree in astronautics from Massachusetts Institute of Technology.	"
	null	
"	If only I could join them in their exciting endeavors!""	"
	null	
	null	
"	<b><font color=""purple"">Aldrin</font></b> was selected as part of the third group of <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronauts</font></b> selected in October 1963.	"
"	Because test pilot experience was no longer a requirement, this was the first selection for which he was eligible.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> was confirmed as pilot on <b><font color=""purple"">Gemini 12</font></b>, <b><font color=""purple"">the last Gemini mission</font></b> and the last chance to prove methods for extra-vehicular activity (EVA).	"
"	<b><font color=""purple"">Aldrin</font></b> set a record for EVA, demonstrating that <b><font color=""purple"">astronauts</font></b> could work outside spacecraft.	"
	null	
