Sentence
"	<b><font color=""purple"">Carl</font></b> Erwin <b><font color=""purple"">Walz</font></b> (Colonel, USAF, Ret.)	"
"	is a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> currently working for Orbital Sciences Corporation's Advanced Programs Group as Vice President for Human Space Flight Operations.	"
"	<b><font color=""purple"">Walz</font></b> was formerly assigned to the Exploration Systems Mission Directorate at NASA Headquarters in Washington, DC.	"
	null	
"	Born September 6, 1955, in Cleveland, Ohio.	"
"	Married to the former Pamela J. Glady of Lyndhurst, Ohio.	"
	They have two children.	
"	<b><font color=""purple"">He</font></b> enjoys <b><font color=""purple"">piano</font></b> and vocal music, sports, and was the lead singer for Max Q, a <b><font color=""purple"">rock-n-roll</font></b> <b><font color=""purple"">band</font></b> comprising <b><font color=""purple"">astronauts</font></b>.	"
	null	
"	American Legion, Kent State University Alumni Association, John Carroll University Alumni Association, and the Association of Space Explorers.	"
	Graduated Summa Cum Laude from Kent State University.	
	null	
"	Distinguished Graduate from the USAF Test Pilot School, Class 83A.	"
	Inducted into the Ohio Veterans Hall of Fame.	
"	Awarded three <b><font color=""purple"">NASA</font></b> Space Flight Medals, <b><font color=""purple"">NASA</font></b> Exceptional Service Medal.	"
"	Distinguished Alumnus Award, Kent State University, 1997.	"
	null	
"	The subsequent year was spent in study as a flight test engineer at the U.S. Air Force Test Pilot School, Edwards Air Force Base, California.	"
	null	
"	From July 1987 to June 1990, he served as a Flight Test Manager at Detachment 3, Air Force Flight Test Center.	"
"	Selected by <b><font color=""purple"">NASA</font></b> in January 1990, <b><font color=""purple"">Walz</font></b> is a veteran of four <b><font color=""purple"">space</font></b> flights, and has logged 231 days in <b><font color=""purple"">space</font></b>.	"
	null	
"	<b><font color=""purple"">Carl Walz</font></b> and fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Dan Bursch</font></b> currently hold the <b><font color=""purple"">U.S.</font></b> <b><font color=""purple"">space</font></b> flight endurance record of 196 days in <b><font color=""purple"">space</font></b>.	"
"	<b><font color=""purple"">STS-51</font></b> Discovery (September 1222, 1993).	"
	null	
"	<b><font color=""purple"">Walz</font></b> also participated in a 7-hour space walk (EVA) to evaluate tools for the Hubble Space Telescope servicing mission.	"
"	The mission was accomplished in 9 days, 22 hours, and 12 minutes.	"
"	<b><font color=""purple"">STS-65</font></b> Columbia (July 823, 1994).	"
"	<b><font color=""purple"">STS-65</font></b> flew the second International Microgravity Laboratory (IML-2) spacelab module, and carried a crew of seven.	"
	During the 15-day flight the crew conducted more than 80 experiments focusing on materials and life sciences research in microgravity.	
"	The mission completed 236 orbits of the Earth, traveling 6.1 million miles, setting a new flight duration record for the Shuttle program.	"
"	<b><font color=""purple"">STS-79</font></b> Atlantis (September 1626, 1996).	"
	null	
"	During the mission, the Atlantis/Mir complex set a record for docked mass in space.	"
"	<b><font color=""purple"">STS-79</font></b> was the first flight of the double Spacehab module, and landed at KSC after 10 days 3 hours and 13 minutes.	"
"	The <b><font color=""purple"">Expedition 4</font></b> crew launched on December 5, 2001 aboard <b><font color=""purple"">STS-108</font></b> and docked with <b><font color=""purple"">the International Space Station</font></b> on December 7, 2001.	"
	null	
"	The crew spent 196 days in <b><font color=""purple"">space</font></b> establishing a <b><font color=""purple"">U.S.</font></b> <b><font color=""purple"">space</font></b> flight endurance record for <b><font color=""purple"">Carl Walz</font></b> and crew mate <b><font color=""purple"">Dan Bursch</font></b>.	"
"	Wearing the Russian Orlan space suit, <b><font color=""purple"">Walz</font></b> logged 11 hours and 52 minutes of EVA time in two separate spacewalks.	"
"	The <b><font color=""purple"">Expedition 4</font></b> crew returned to Earth aboard <b><font color=""purple"">STS-111</font></b>, with Endeavour landing at Edwards Air Force Base, California, on June 19, 2002.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
