Sentence
"	<b><font color=""purple"">Christopher J. Ferguson</font></b> (born September 1, 1961) is a retired <b><font color=""purple"">United States Navy</font></b> <b><font color=""purple"">Captain</font></b> and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> then commanded <b><font color=""purple"">STS-126</font></b> aboard Space ShuttleEndeavour.	"
"	<b><font color=""purple"">Ferguson</font></b> was assigned as commander of <b><font color=""purple"">STS-135</font></b>, which was the final mission of <b><font color=""purple"">the space shuttle program</font></b>.	"
"	On December 9, 2011, he retired from <b><font color=""purple"">NASA</font></b> for a new job in the private sector.	"
	null	
"	<b><font color=""purple"">Ferguson</font></b> was commissioned from the Navy ROTC program at the University of Pennsylvania.	"
"	<b><font color=""purple"">He</font></b> received his Naval Aviator wings in NAS Kingsville, Texas in 1986 and was ordered to the F-14 Tomcat training squadron in Virginia Beach, Virginia.	"
	null	
"	While with VF-11, he also attended the Navy Fighter Weapons School (TOPGUN).	"
"	<b><font color=""purple"">He</font></b> was selected for the <b><font color=""purple"">United States Naval</font></b> <b><font color=""purple"">Test Pilot School</font></b> program in 1989 and graduated in 1992.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> briefly served as an F-14 logistics officer for the Atlantic Fleet prior to his selection to the space program.	"
"	<b><font color=""purple"">Ferguson</font></b> served as CAPCOM for the STS-118 mission, and told the crew of Endeavour ""Welcome home.	"
"	You've given a new meaning to higher education,"" as they touched down safely.	"
"	<b><font color=""purple"">He</font></b> also served as CAPCOM for the STS-128 and STS-129 missions.	"
"	<b><font color=""purple"">Ferguson</font></b> retired from <b><font color=""purple"">NASA</font></b> on December 9, 2011.	"
"	<b><font color=""purple"">Ferguson</font></b> currently works for The Boeing Company as director of Crew and Mission Operations for Boeings Commercial Crew Program.	"
"	<b><font color=""purple"">Ferguson</font></b> as CAPCOM for STS-129 <b><font color=""purple"">Ferguson</font></b> with Elmo Ferguson, who is of Scottish and <b><font color=""purple"">Polish</font></b> descent, is married to Sandra and has three children.	"
	null	
	MP3	
