Sentence
"	<b><font color=""purple"">Christopher</font></b> Joseph ""Gus"" <b><font color=""purple"">Loria</font></b> (b. July 9, 1960 in Newton, Massachusetts) is a retired <b><font color=""purple"">United States Marine Corps</font></b> Colonel and a medically retired <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> was originally scheduled to fly on STS-113 as pilot, however he was grounded from spaceflight due to a severe back injury.	"
"	Born July 9, 1960 in Belmont, Massachusetts.	"
"	<b><font color=""purple"">He</font></b> considers Munford, Tennessee, his hometown.	"
"	<b><font color=""purple"">He</font></b> has three children.	"
"	His mother, Joan Loria, resides in Belmont, Massachusetts.	"
"	His father, Robert L. Loria, is deceased.	"
"	On November 10, 2007 he married <b><font color=""purple"">U.S.</font></b> Navy Lieutenant Commander Jamie Ann Fraser.	"
"	<b><font color=""purple"">Loria</font></b> graduated from Belmont High School in 1978 and the <b><font color=""purple"">U.S.</font></b> <b><font color=""purple"">Naval Academy Preparatory School</font></b> in 1979.	"
"	<b><font color=""purple"">He</font></b> entered the U.S. Naval Academy shortly after and graduated with a Bachelor of Science degree in general engineering in 1983.	"
	null	
"	<b><font color=""purple"">Loria</font></b> received his commission after graduating from Annapolis in 1983, and was designated a Naval Aviator in July 1988.	"
"	<b><font color=""purple"">He</font></b> transitioned to the F/A-18 Hornet with <b><font color=""purple"">Strike Fighter Squadron 125</font></b> (<b><font color=""purple"">VFA-125</font></b>) at <b><font color=""purple"">Naval air Station Lemoore</font></b>, California, during August 1988 through August 1989.	"
"	His next assignment was with Marine Fighter Attack Squadron 314 (VMFA-314) the ""Black Knights"" at Marine Corps Air Station El Toro, California.	"
	null	
	null	
"	January 1994 to July 1996, he was assigned to the Strike Aircraft <b><font color=""purple"">Test</font></b> Squadron, <b><font color=""purple"">Naval Air Station Patuxent River</font></b>, <b><font color=""purple"">Maryland</font></b>, as an experimental <b><font color=""purple"">test pilot</font></b>.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> has 3,079 hours of flight time and has flown 32 different aircraft.	"
	null	
	null	
"	Lead Department of the Navy <b><font color=""purple"">test pilot</font></b> on the NASA/U.	"
	S. Navy/Industry Aircraft Control Power Working Group.	
"	Selected by <b><font color=""purple"">NASA</font></b> in April 1996 as an <b><font color=""purple"">Astronaut</font></b> Candidate, <b><font color=""purple"">Loria</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1996.	"
"	Having completed two years of training and evaluation, he was qualified for <b><font color=""purple"">flight</font></b> assignment as a <b><font color=""purple"">shuttle</font></b> pilot.	"
"	<b><font color=""purple"">Loria</font></b> was initially assigned technical duties in the Astronaut Office as an Ascent and Entry CAPCOM.	"
"	Assigned as pilot on STS-113, <b><font color=""purple"">Loria</font></b> requested reassignment due to an injury sustained at home and its subsequent affect on his mission training.	"
	From September 2002 through July 2003 he served as the Chief of Flight Test for the Orbital Space Plane Program.	
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">Loria</font></b> requested assignment back to the operational forces of <b><font color=""purple"">the Marine Corps</font></b>.	"
"	Society of Experimental <b><font color=""purple"">Test Pilots</font></b>, <b><font color=""purple"">U.S.</font></b> Naval Academy Alumni <b><font color=""purple"">Association</font></b>, <b><font color=""purple"">Marine Corps</font></b> Aviation <b><font color=""purple"">Association</font></b>, National Rifle <b><font color=""purple"">Association</font></b>.	"
