Sentence
"	<b><font color=""purple"">Dominic Lee <b><font color=""purple"">Pudwill</font></b> Gorie</font></b> (born May 2, 1957) is a retired <b><font color=""purple"">United States Navy</font></b> officer and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> is a veteran of four space shuttle missions.	"
"	<b><font color=""purple"">Gorie</font></b> was born in Lake Charles, Louisiana.	"
	null	
"	<b><font color=""purple"">He</font></b> enrolled in the United States Naval Academy where he studied ocean engineering[1].	"
"	Following graduation in 1979, he trained as a pilot and served tours of duty aboard the carriers USS America and USS Coral Sea.	"
	null	
"	<b><font color=""purple"">Gorie</font></b> graduated from Miami Palmetto High School in Pinecrest, Florida, in 1975.	"
	null	
	null	
	Designated a Naval Aviator in 1981.	
	Flew the A-7E Corsair II with Attack Squadron 46 aboard the USSAmerica from 1981 to 1983.	
"	Transitioned to Strike Fighter Squadron 132 (VFA-132) in 1983, flying the F/A-18 Hornet aboard the USSCoral Sea until 1986.	"
"	Attended <b><font color=""purple"">the U.S. Naval Test Pilot School</font></b> in 1987 and served as a Test Pilot at <b><font color=""purple"">the Naval Air Test Center</font></b> from 1988 to 1990.	"
	Then was assigned to VFA-87 flying the F/A-18 aboard the USSTheodore Roosevelt until 1992.	
"	<b><font color=""purple"">He</font></b> participated in Operation Desert Storm, flying 38 combat missions.	"
"	In <b><font color=""purple"">1992</font></b> received orders to <b><font color=""purple"">the U.S. Space Command</font></b> in <b><font color=""purple"">Colorado</font></b> Springs, <b><font color=""purple"">Colorado</font></b> for <b><font color=""purple"">two years</font></b> before reporting to VFA-106 for F/A-18 refresher training.	"
"	<b><font color=""purple"">He</font></b> was en route to his command tour of VFA-37 when he was selected as an <b><font color=""purple"">Astronaut</font></b> Candidate.	"
"	<b><font color=""purple"">Gorie</font></b> accumulated over 6,000 hours in more than 35 aircraft and has over 600 carrier landings.	"
"	<b><font color=""purple"">Gorie</font></b> retired from <b><font color=""purple"">the U.S. Navy</font></b> in September 2005.	"
"	In 1994, <b><font color=""purple"">Gorie</font></b> was selected as an <b><font color=""purple"">astronaut</font></b> candidate.	"
"	<b><font color=""purple"">He</font></b> first flew as the pilot of mission <b><font color=""purple"">STS-91</font></b> in 1998 and again as pilot on mission <b><font color=""purple"">STS-99</font></b> in 2000.	"
"	In 2001, <b><font color=""purple"">Gorie</font></b> was commander of mission <b><font color=""purple"">STS-108</font></b>, a visit to the International Space Station.	"
"	In 2008, <b><font color=""purple"">Gorie</font></b> completed his 4th mission aboard a shuttle with <b><font color=""purple"">STS-123</font></b>.	"
