Sentence
"	<b><font color=""purple"">Edgar</font></b> Dean Mitchell, Sc.D.	"
"	(born September 17, 1930) is an <b><font color=""purple"">American</font></b> pilot, retired Captain in <b><font color=""purple"">the United States Navy</font></b> and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
	null	
"	<b><font color=""purple"">Mitchell</font></b> was born in Hereford, Texas.	"
"	<b><font color=""purple"">He</font></b> was active in the Boy Scouts of America where he achieved its second highest rank, Life Scout.	"
"	<b><font color=""purple"">He</font></b> was also a member of DeMolay International, part of the Masonic Fraternity, and has been inducted into its Hall of Fame.	"
"	<b><font color=""purple"">Mitchell</font></b> earned a Bachelor of Science degree in industrial management from Carnegie Mellon University in 1952.	"
	null	
"	<b><font color=""purple"">He</font></b> later qualified as a research pilot and taught at the Navy's research pilot school.	"
	null	
"	<b><font color=""purple"">He</font></b> currently resides in Lake Worth, Florida.	"
	null	
"	<b><font color=""purple"">Mitchell</font></b> was selected to be <b><font color=""purple"">an astronaut</font></b> in 1966 and was seconded from the Navy to <b><font color=""purple"">NASA</font></b>.	"
	null	
"	<b><font color=""purple"">Apollo 14</font></b> was the longest walk performed by <b><font color=""purple"">astronauts</font></b> on the lunar surface.	"
"	<b><font color=""purple"">Apollo 14</font></b> was Mitchell's only spaceflight.	"
"	<b><font color=""purple"">He</font></b> remained with <b><font color=""purple"">NASA</font></b> until 1972, when he retired from the Navy.	"
"	Ed <b><font color=""purple"">Mitchell</font></b> was awarded honorary doctorates from the New Mexico State University, the University of Akron, Carnegie Mellon University and Embry-Riddle Aeronautical University.	"
"	<b><font color=""purple"">Edgar</font></b> <b><font color=""purple"">Mitchell</font></b> was presented with the Presidential Medal of Freedom in 1970 by President Richard Nixon.	"
	null	
"	The litigation asked that the camera be returned to <b><font color=""purple"">NASA</font></b>.	"
"	Mitchell's position was that <b><font color=""purple"">NASA</font></b> had given him the camera as a gift upon the completion of the <b><font color=""purple"">Apollo 14</font></b> <b><font color=""purple"">mission</font></b>.	"
	Bonhams withdrew the camera from auction.	
	null	
"	On September 20, 2012 Congress enacted H.R. 4158, confirming full ownership rights of artifacts to <b><font color=""purple"">astronauts</font></b> on Apollo (and Mercury and Gemini) space missions.	"
	Mitchell's interests include consciousness and paranormal phenomena.	
	null	
	The results of said experiments were published in the Journal of Parapsychology in 1971.	
"	<b><font color=""purple"">He</font></b> was the founder of the Institute of Noetic Sciences (IONS) for the purpose of consciousness research and other ""related phenomena.""	"
	null	
	Aldrin stated that the experiment was a complete failure.	
"	<b><font color=""purple"">Mitchell</font></b> claims that a teenage remote healer who lives in Vancouver and uses the pseudonym Adam Dreamhealer helped him heal kidney cancer from a distance.	"
"	<b><font color=""purple"">Mitchell</font></b> said that while he never had a biopsy, ""I had a sonogram and MRI that was consistent with renal carcinoma.""	"
"	Adam worked (distantly) on <b><font color=""purple"">Mitchell</font></b> from December 2003 until June 2004, when the ""irregularity was gone and we haven't seen it since"".	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> further claimed that UFOs had provided ""sonic engineering secrets"" that were helpful to the U.S. government.	"
"	Mitchell's book, The Way of the Explorer, discusses his journey into mysticism and space.	"
	null	
"	<b><font color=""purple"">He</font></b> said, ""We all know that UFOs are real; now the question is where they come from.""	"
"	On July 23, 2008 <b><font color=""purple"">Edgar</font></b> <b><font color=""purple"">Mitchell</font></b> was interviewed on Kerrang Radio by Nick Margerrison.	"
	null	
"	In reply, a spokesman for <b><font color=""purple"">NASA</font></b> stated: ""<b><font color=""purple"">NASA</font></b> does not track UFOs.	"
"	<b><font color=""purple"">NASA</font></b> is not involved in any sort of cover up about alien life on this planet or anywhere in the universe.	"
"	Dr <b><font color=""purple"">Mitchell</font></b> is a great American, but we do not share his opinions on this issue.""	"
	null	
"	<b><font color=""purple"">Mitchell</font></b> also claims to have subsequently received confirmation from an unnamed intelligence officer at the Pentagon.	"
"	<b><font color=""purple"">Edgar</font></b> <b><font color=""purple"">Mitchell</font></b> appears in the documentaries In the Shadow of the Moon, The Phoenix Lights...We Are Not Alone, and The Living Matrix.	"
"	<b><font color=""purple"">Mitchell</font></b> has written several articles and essays, as well as two books.	"
"	In The Way of the Explorer, <b><font color=""purple"">Mitchell</font></b> proposed a dyadic model of reality.	"
"	<b><font color=""purple"">He</font></b> is currently the Advisory Board Chairman of the Institute for Cooperation in Space, co-founded by Dr. Carol Rosin and is a member of INREES.	"
	null	
"	1998 HBO TV series From <b><font color=""purple"">the Earth</font></b> to <b><font color=""purple"">the Moon</font></b>  played by Gary Cole	"
