Sentence
"	<b><font color=""purple"">Edward</font></b> Galen ""Ed"" <b><font color=""purple"">Givens</font></b> Jr (January 5, 1930  June 6, 1967) was an United States Air Force officer and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> was selected in 1966 by <b><font color=""purple"">NASA</font></b> as a member of the fifth <b><font color=""purple"">astronaut</font></b> group.	"
"	<b><font color=""purple"">He</font></b> was active in the Boy Scouts of America where he achieved its second highest rank, Life Scout.	"
"	<b><font color=""purple"">He</font></b> and his wife Ada had three children.	"
	null	
"	In 1954, he was a flight commander and <b><font color=""purple"">fighter pilot</font></b> with the 35th Fighter-Interceptor Group on duty in Japan.	"
	null	
	Upon graduation he became an instructor in the Stability and Control Section.	
"	His next assignment took him to the Naval Air Station Point Mugu, California, where he was a project pilot with Air Development Squadron 4.	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> logged more than 3,500 hours flight time; 2,800 hours in jet craft.	"
"	<b><font color=""purple"">Givens</font></b> was one of nineteen selected by <b><font color=""purple"">NASA</font></b> in April 1966 for its fifth <b><font color=""purple"">astronaut</font></b> group.	"
	null	
	null	
"	<b><font color=""purple"">Givens</font></b> died on the way to the hospital.	"
"	<b><font color=""purple"">He</font></b> was survived by his wife Ada and their three children.	"
"	A family-approved account of Givens' life appears in the 2003 book ""Fallen Astronauts"" by Colin Burgess.	"
