Sentence
	null	
"	<b><font color=""purple"">He</font></b> was the first Asian American to reach space.	"
"	<b><font color=""purple"">Ellison</font></b> <b><font color=""purple"">Onizuka</font></b> was the oldest son and second youngest child of the late Masamitsu and Mitsue Onizuka.	"
"	<b><font color=""purple"">He</font></b> had two older sisters, Shirley and Norma, and a younger brother, Claude.	"
"	Claude became the family spokesman when <b><font color=""purple"">Ellison</font></b> attained fame as <b><font color=""purple"">an astronaut</font></b> and continued after the Challenger accident.	"
"	Growing up, <b><font color=""purple"">Ellison</font></b> was an active participant in 4-H and the Boy Scouts, where he reached the level of Eagle Scout.	"
"	<b><font color=""purple"">He</font></b> graduated from Konawaena High School in <b><font color=""purple"">Kealakekua</font></b> in 1964.	"
	null	
"	<b><font color=""purple"">He</font></b> participated in Air Force ROTC during his time there and is an alumnus of Triangle Fraternity.	"
"	<b><font color=""purple"">Onizuka</font></b> married Lorna Leiko Yoshida on June 7, 1969, while completing his studies at the University of Colorado.	"
"	They had two daughters, Janelle Onizuka-Gillilan (b. 1969) and Darien Lei Shizue Onizuka-Morgan (b. 1975).	"
	null	
	At the Sacramento Air Logistics Center at McClellan Air Force Base.	
"	<b><font color=""purple"">He</font></b> worked in test flight programs and systems security engineering for the F-84, F-100, F-105, F-111, EC-121T, T-33, T-39, T-28, and A-1.	"
"	From August 1974 to July 1975, <b><font color=""purple"">Onizuka</font></b> attended the U.S. Air Force Test Pilot <b><font color=""purple"">School</font></b>.	"
"	In July 1975, he was assigned to <b><font color=""purple"">the Flight Test Center</font></b> at <b><font color=""purple"">Edwards Air Force Base</font></b> in California.	"
	null	
	null	
"	<b><font color=""purple"">Onizuka</font></b> registered more than 1,700 flight hours.	"
"	<b><font color=""purple"">Onizuka</font></b> was selected for the astronaut program in January 1978, and completed <b><font color=""purple"">one year</font></b> of evaluation and training in <b><font color=""purple"">August 1979</font></b>.	"
"	Later, he worked in the experimentation team, Orbiter test team, and launch support crew at <b><font color=""purple"">the Kennedy Space Center</font></b> for the <b><font color=""purple"">STS-1</font></b> and STS-2.	"
"	At <b><font color=""purple"">NASA</font></b>, he worked on the Shuttle Avionics Integration Laboratory (SAIL) test and revision software team.	"
"	<b><font color=""purple"">He</font></b> also collaborated on other technical projects, for instance, as <b><font color=""purple"">astronaut</font></b> crew team coordinator.	"
	null	
"	<b><font color=""purple"">Onizuka</font></b> was accompanied by the commander Ken Mattingly, pilot Loren Shriver, fellow mission specialist James Buchli, and payload specialist Gary E. Payton.	"
"	During the mission, <b><font color=""purple"">Onizuka</font></b> was responsible for the activities of the primary payloads, which included the unfolding of the Inertial Upper Stage (IUS) surface.	"
"	After 48 orbits around the Earth, Discovery landed at the Kennedy Space Center on January 27, 1985.	"
"	<b><font color=""purple"">Onizuka</font></b> had completed a total of 74 hours in space.	"
	null	
	null	
	Challenger was destroyed when a leaking solid rocket booster ruptured the fuel tank 73 seconds after launch.	
	All seven crew members were killed.	
"	<b><font color=""purple"">NASA</font></b> had estimated that the probability of a catastrophic accident during launch, the most perilous portion of space flight, was 1 in 438.	"
	null	
"	The location of Smith's activation switch, on the back side of his seat, means that either Resnik or <b><font color=""purple"">Onizuka</font></b> could have activated it for him.	"
"	This is the only evidence available from the disaster that shows <b><font color=""purple"">Onizuka</font></b> and Resnik were alive after the cockpit separated from the vehicle.	"
"	However, if the cabin had lost pressure, the packs alone would not have sustained the crew during the two minute descent.	"
"	<b><font color=""purple"">Ellison</font></b> was buried at the National Memorial Cemetery of the Pacific in Honolulu, Hawaii.	"
"	At the time of his death, <b><font color=""purple"">Onizuka</font></b> held the rank of Lieutenant Colonel.	"
"	Posthumously, <b><font color=""purple"">Onizuka</font></b> was promoted to the rank of Colonel.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> was posthumously awarded the Congressional Space Medal of Honor.	"
	null	
	null	
	null	
"	The school also named its library the <b><font color=""purple"">Onizuka</font></b> Memorial Library.	"
"	(At the time of the Challenger disaster, older daughter Janelle attended Clear Lake High School.	"
	His younger daughter was at Whitcomb.)	
"	In addition, the <b><font color=""purple"">Onizuka</font></b> Street in Little Tokyo has a scale replica of the Space Shuttle Challenger as a memorial.	"
"	The <b><font color=""purple"">Onizuka</font></b> Center for International Astronomy, named in his honor, is the mid-level support and visitor complex for the Mauna Kea Observatories in Hawai'i.	"
"	The complex includes a Visitor Information Station as well as dining, lodging, office and maintenance facilities for observatory staff and astronomers.	"
	A plaque of Onizuka's face is mounted on a boulder by the entrance to the Visitor Information Station.	
"	Triangle Fraternity has the <b><font color=""purple"">Ellison</font></b> <b><font color=""purple"">Onizuka</font></b> Young Alumnus Award in tribute to him.	"
	The Engineering Center at the University of Colorado at Boulder has a conference room named after him.	
	The Arnold Air Society Squadron attached to the 105th Air Force ROTC Detachment at the University of Colorado at Boulder bears his name.	
	null	
	null	
"	At the NASA Johnson Space Center in Houston, Texas, employees wear Hawaiian shirts in his honor.	"
	null	
