Sentence
"	<b><font color=""purple"">Eugene Andrew Cernan</font></b> (/?s?r.n?n/; born March 14, 1934) is a retired <b><font color=""purple"">American naval</font></b> officer, <b><font color=""purple"">fighter pilot</font></b> and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
	null	
	null	
"	(Crewmate Harrison Schmitt was ""the last man to arrive on the Moon"", as <b><font color=""purple"">Cernan</font></b> left the module first.)	"
"	<b><font color=""purple"">Cernan</font></b> was also a backup crew member for <b><font color=""purple"">the Gemini 12</font></b>, <b><font color=""purple"">Apollo 7</font></b> and <b><font color=""purple"">Apollo</font></b> 14 space missions.	"
"	Born in Chicago, Illinois, son of a Slovak father and a Czech mother, <b><font color=""purple"">Cernan</font></b> grew up in the suburban towns of Bellwood and Maywood.	"
"	Graduating from <b><font color=""purple"">Proviso East High School</font></b> in <b><font color=""purple"">Maywood</font></b>, he entered Purdue University, where he became a member of Phi Gamma Delta fraternity.	"
	null	
"	<b><font color=""purple"">He</font></b> became a Naval Aviator flying jet interceptors.	"
"	<b><font color=""purple"">He</font></b> received a Master of Science in aeronautical engineering from the Naval Postgraduate School in 1963.	"
"	<b><font color=""purple"">Cernan</font></b> was selected among the third group of <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronauts</font></b> in October 1963 by <b><font color=""purple"">NASA</font></b> to participate in projects Gemini and Apollo.	"
	null	
	null	
"	<b><font color=""purple"">Cernan</font></b> performed the second <b><font color=""purple"">American</font></b> <b><font color=""purple"">EVA</font></b> (only the third ever) but his space suit overheated resulting in a very high heart rate.	"
	null	
	null	
	null	
"	While on the Moon during <b><font color=""purple"">Apollo 17</font></b>, he and his crewmate <b><font color=""purple"">Harrison Schmitt</font></b> performed three EVAs for a total of about 22 hours of exploration.	"
"	Their first EVA alone was more than three times the length <b><font color=""purple"">Neil Armstrong</font></b> and <b><font color=""purple"">Buzz Aldrin</font></b> spent outside the LM on <b><font color=""purple"">Apollo 11</font></b>.	"
	null	
"	<b><font color=""purple"">Cernan</font></b> piloted the rover on <b><font color=""purple"">its final sortie</font></b>, recording a maximum speed of 11.2mph (18.0km/h), giving him the (unofficial) lunar land speed <b><font color=""purple"">record</font></b>.	"
	null	
	That America's challenge of today has forged man's destiny of tomorrow.	
	null	
"	Godspeed the crew of <b><font color=""purple"">Apollo 17</font></b>.""	"
	null	
	null	
"	However, in Cernan's words, Schmitt proved a capable LM pilot.	"
	null	
"	In 1976, <b><font color=""purple"">Cernan</font></b> retired both from <b><font color=""purple"">the Navy</font></b> (as <b><font color=""purple"">a Captain</font></b>) and from <b><font color=""purple"">NASA</font></b>, and went into private business.	"
"	In 1999, he co-authored The Last Man on the Moon with Don Davis.	"
	The book contains his memoirs of his career both with NASA and before.	
	null	
"	<b><font color=""purple"">Cernan</font></b> also contributed to the book of the same name.	"
"	<b><font color=""purple"">Cernan</font></b> also at one time was a contributor to <b><font color=""purple"">ABC News</font></b> and <b><font color=""purple"">its Good Morning</font></b> <b><font color=""purple"">America</font></b> morning show.	"
	null	
"	<b><font color=""purple"">Cernan</font></b> was featured in the Discovery Channel's documentary miniseries When We Left Earth, providing narrative on his involvement and missions as <b><font color=""purple"">an astronaut</font></b>.	"
"	In the 1998 miniseries From <b><font color=""purple"">the Earth</font></b> to <b><font color=""purple"">the Moon</font></b>, he was portrayed by Daniel Hugh Kelly.	"
"	His recollections were the basis of the song ""Moon Rider"", written by Paul and Ralph Colwell and Herbert Allen, performed by Up With People.	"
"	In December 2011 <b><font color=""purple"">Cernan</font></b> appeared on the BBC's astronomy program The Sky at Night in the episode entitled ""Last Man on the Moon"".	"
"	<b><font color=""purple"">He</font></b> appeared on another BBC program in 2012, answering questions on Stargazing Live by video link from Houston.	"
	null	
"	A number of fictional characters have been described as being the ""last man to walk on the moon.""	"
	null	
"	In <b><font color=""purple"">Magnificent Desolation</font></b>: <b><font color=""purple"">Walking on the Moon 3D</font></b>, <b><font color=""purple"">Cernan</font></b> is voiced by <b><font color=""purple"">Gary Sinise</font></b>.	"
"	In 2013, his voice was sampled by <b><font color=""purple"">Daft Punk</font></b> on their <b><font color=""purple"">album</font></b> <b><font color=""purple"">Random Access Memories</font></b>, in the last track named ""Contact"".	"
