Sentence
"	<b><font color=""purple"">Fred Weldon Leslie</font></b> is an American scientist who flew on the <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">STS-73</font></b> Space Shuttle mission as a payload specialist.	"
"	<b><font color=""purple"">Leslie</font></b> was born December 19, 1951, in Ancn, Panama.	"
"	<b><font color=""purple"">He</font></b> is an instrument rated commercial pilot with more than 900 hours in various aircraft.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> holds a World Record as a participant in the 200 <b><font color=""purple"">person</font></b> freefall formation set October 1992.	"
"	After <b><font color=""purple"">Leslie</font></b> earned his Ph.D. in 1979, he served as a post doctoral research associate at Purdue University studying fluid vortex dynamics.	"
"	In 1980, he worked for the Universities Space Research Association as a visiting scientist at the Marshall Space Flight Center (MSFC).	"
"	<b><font color=""purple"">Leslie</font></b> began work for <b><font color=""purple"">NASA</font></b> in 1980 as a research scientist in the Space Science Laboratory at <b><font color=""purple"">the Marshall Space Flight Center</font></b>.	"
	null	
"	The experiment flew on Spacelab 3 and is also a part of the <b><font color=""purple"">United States</font></b> Microgravity Laboratory-2 (USML-2) payload.	"
	null	
"	<b><font color=""purple"">He</font></b> is an author on 27 journal papers, 45 conference papers, and nine NASA reports involving atmospheric and fluid dynamic phenomena.	"
"	<b><font color=""purple"">Leslie</font></b> also worked in the MSFC Neutral Buoyancy Simulator as a suited subject and safety diver supporting procedure tests for extra-vehicular activity.	"
	null	
	null	
"	<b><font color=""purple"">Leslie</font></b> is a researcher at the Marshall Space Flight Center.	"
"	<b><font color=""purple"">He</font></b> is a member of the research team analyzing data from the Geophysical Fluid Flow Cell experiment that flew on <b><font color=""purple"">STS-73</font></b>/USML-2.	"
"	<b><font color=""purple"">Leslie</font></b> flew as a payload specialist on <b><font color=""purple"">STS-73</font></b> launched on October 20, 1995 and landed at <b><font color=""purple"">the Kennedy Space Center</font></b> on November 5, 1995.	"
"	The 16 day mission aboard Space Shuttle Columbia focused on materials science, biotechnology, combustion science, and fluid physics contained within the pressurized Spacelab module.	"
