Sentence
	null	
"	<b><font color=""purple"">Jarvis</font></b> graduated from Mohawk Central High School, in Mohawk, New York, in 1962.	"
	null	
"	<b><font color=""purple"">Jarvis</font></b> joined the United States Air Force <b><font color=""purple"">the same year</font></b> and served until <b><font color=""purple"">1973</font></b>, when he was honorably discharged as a Captain.	"
	Thereafter he worked for Hughes Aircraft.	
"	While working at Hughes, <b><font color=""purple"">Jarvis</font></b> completed all of the coursework for a Masters in Science Management at <b><font color=""purple"">West Coast University</font></b> in <b><font color=""purple"">Los Angeles</font></b>.	"
"	While pursuing his masters degree at Northeastern, <b><font color=""purple"">Jarvis</font></b> worked at Raytheon in Bedford, Massachusetts, where he was involved in circuit design on the SAM-D missile.	"
"	In July 1969, he entered active duty in the U.S. Air Force and was assigned to the Space Division in El Segundo, California.	"
"	As a Communications Payload Engineer, in the Satellite Communications Program Office, he worked on advanced tactical communications satellites.	"
"	<b><font color=""purple"">He</font></b> was involved in the concept formulation, source selection, and early design phase of the FLTSATCOM communications payload.	"
	null	
"	In 1975, <b><font color=""purple"">Jarvis</font></b> became the MARISAT F-3 Spacecraft Test and Integration Manager.	"
"	In 1976, the MARISAT F-3 was placed in geosynchronous orbit.	"
	null	
"	Joining the Advanced Program Laboratory in 1978, he began working on the concept formulation and subsequent proposal for the SYNCON IV/LEASAT Program.	"
"	In 1979, <b><font color=""purple"">Jarvis</font></b> became the Power/Thermal/Harness Subsystem Engineer on the LEASAT Program.	"
"	In 1981, he became the Spacecraft Bus System Engineering and in 1982, the Assistant Spacecraft System Engineering Manager.	"
	null	
	Both the F-1 and F-2 LEASAT spacecraft successfully achieved their geosynchronous positions.	
"	<b><font color=""purple"">Jarvis</font></b> was working on advanced satellite designs in the Systems Application Laboratory when he was selected as a payload specialist candidate in July 1984.	"
"	<b><font color=""purple"">Jarvis</font></b> was Payload Specialist 2 on <b><font color=""purple"">STS-51-L</font></b> which was launched from <b><font color=""purple"">the Kennedy Space Center</font></b>, Florida, at 11:38:00 EST on January 28, 1986.	"
	null	
"	The entire <b><font color=""purple"">STS-51-L</font></b> crew died on January 28, 1986, when <b><font color=""purple"">Challenger</font></b> exploded during launch.	"
	The remains of all seven astronauts from the Challenger disaster were discovered in the crew decks on the ocean floor.	
"	<b><font color=""purple"">Gregory Jarvis</font></b>' remains were discovered in the lower mid-deck along with fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Ronald</font></b> McNair and <b><font color=""purple"">school teacher</font></b> <b><font color=""purple"">Christa</font></b> <b><font color=""purple"">McAuliffe</font></b>.	"
	null	
"	On April 15, 1986, on the last scheduled attempt to recover wreckage, Jarvis' body was rediscovered and returned to shore.	"
"	The East Engineering building on <b><font color=""purple"">University</font></b> at Buffalo (<b><font color=""purple"">SUNY</font></b>) north campus was renamed <b><font color=""purple"">Jarvis</font></b> Hall after <b><font color=""purple"">Gregory Jarvis</font></b>' death.	"
	null	
"	<b><font color=""purple"">Jarvis</font></b> Hall is devoted largely to Aerospace Engineering and engineering support services.	"
"	Mohawk Central High School in Mohawk, NY was renamed <b><font color=""purple"">Gregory B. Jarvis</font></b> Jr/Sr High School.	"
"	It is now the <b><font color=""purple"">Gregory B. Jarvis</font></b> Middle School of the Central Valley Central School District.	"
"	<b><font color=""purple"">Jarvis</font></b> was portrayed by <b><font color=""purple"">Richard Jenkins</font></b> in the 1990 TV movie <b><font color=""purple"">Challenger</font></b>.	"
"	In 2004, <b><font color=""purple"">Jarvis</font></b> was posthumously awarded the Congressional Space Medal of Honor.	"
