Sentence
	null	
"	As a civilian research pilot and aeronautical engineer, he made 30 flights in X-15s from October 28, 1960, until September 8, 1966.	"
"	His peak altitude was 295,600 feet (55.98 miles), and his highest speed was 3,863mph (Mach 5.64).	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> began as an NACA intern, but assumed pilot status on July 11, 1952.	"
"	In addition to <b><font color=""purple"">the X-15</font></b>, he flew <b><font color=""purple"">such experimental aircraft</font></b> as <b><font color=""purple"">the D-558-1</font></b>, <b><font color=""purple"">D-558-2</font></b>, X-lB, and the X-lE.	"
"	<b><font color=""purple"">He</font></b> has also served as a research pilot on flight programs involving <b><font color=""purple"">the F-100</font></b>, F-102, F-104, and <b><font color=""purple"">the F-107</font></b>.	"
"	In 1958, <b><font color=""purple"">McKay</font></b> was selected for and would have participated in the U.S. Air Force's Man In Space Soonest program, had it come to fruition.	"
	null	
"	<b><font color=""purple"">John</font></b> B. <b><font color=""purple"">McKay</font></b> died on April 27, 1975 in Lancaster, California.	"
"	In 1996, he was inducted into the Aerospace Walk of Honor, and in 2005 he was posthumously awarded <b><font color=""purple"">astronaut</font></b>'s wings.	"
