Sentence
"	Katherine <b><font color=""purple"">Megan</font></b> <b><font color=""purple"">McArthur</font></b> is an <b><font color=""purple"">American</font></b> <b><font color=""purple"">oceanographer</font></b> and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">She</font></b> has served as a CAPCOM for both the space shuttle and space station.	"
"	<b><font color=""purple"">Megan</font></b> <b><font color=""purple"">McArthur</font></b> has flown one space shuttle mission, <b><font color=""purple"">STS-125</font></b>.	"
"	<b><font color=""purple"">She</font></b> is known as <b><font color=""purple"">the last person</font></b> to be hands on with the Hubble Space Telescope.	"
"	<b><font color=""purple"">McArthur</font></b> has served in a number of positions including working in the Shuttle Avionics Laboratory (SAIL).	"
"	<b><font color=""purple"">She</font></b> is married to fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Robert L. Behnken</font></b>.	"
"	<b><font color=""purple"">She</font></b> was born in 1971 in Honolulu, Hawaii but grew up in Northern California.	"
"	<b><font color=""purple"">She</font></b> dreamed of being <b><font color=""purple"">an astronaut</font></b> when she was a teenager.	"
"	<b><font color=""purple"">She</font></b> graduated from St. Francis High School in Mountain View, California, then later earned a B.S. degree in Aerospace Engineering from UCLA in 1993.	"
"	In 2002, she was awarded a Ph.D. in <b><font color=""purple"">oceanography</font></b> from <b><font color=""purple"">Scripps Institution of Oceanography</font></b> at <b><font color=""purple"">UC San Diego</font></b>.	"
"	At the Scripps Institution of Oceanography, <b><font color=""purple"">McArthur</font></b> conducted graduate research in nearshore underwater acoustic propagation and digital signal processing.	"
	Her research focused on determining geoacoustic models to describe very shallow water waveguides using measured transmission loss data in a genetic algorithm inversion technique.	
"	<b><font color=""purple"">She</font></b> served as Chief Scientist during at-sea data collection operations, and has planned and led diving operations during sea-floor instrument deployments and sediment-sample collections.	"
"	While at Scripps, she participated in a range of in-water instrument testing, deployment, maintenance, and recovery, and collection of marine plants, animals, and sediment.	"
	null	
"	Selected as a mission specialist by <b><font color=""purple"">NASA</font></b> in July 2000, <b><font color=""purple"">McArthur</font></b> reported for training in August 2000.	"
"	<b><font color=""purple"">She</font></b> trained at the Carter training facility.	"
	null	
"	<b><font color=""purple"">McArthur</font></b> then served as the Crew Support <b><font color=""purple"">Astronaut</font></b> for the <b><font color=""purple"">Expedition 9</font></b> Crew during their six-month mission aboard <b><font color=""purple"">the International Space Station</font></b>.	"
"	<b><font color=""purple"">She</font></b> also worked in the Space Station and Space Shuttle Mission Control Centers as a Capsule Communicator (CAPCOM).	"
"	In 2006, <b><font color=""purple"">McArthur</font></b> was the capsule communicator (capcom) for STS-116.	"
"	<b><font color=""purple"">She</font></b> was also the EVA capcom for the STS-117 mission in 2007.	"
"	<b><font color=""purple"">Megan</font></b> <b><font color=""purple"">McArthur</font></b> was a member of the <b><font color=""purple"">STS-125</font></b> mission to service the Hubble Space Telescope.	"
"	<b><font color=""purple"">McArthur</font></b> was the ascent and entry flight engineer and was the lead robotics crew member for the mission.	"
	The mission which lasted almost 13 days was McArthur's first trip into space.	
"	In a pre-flight interview, she put it as: ""I'll be the last one with hands on it.""	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
