Sentence
"	<b><font color=""purple"">Livingston L. Holder</font></b>, Jr. (born 29 September 1956) was a USAF <b><font color=""purple"">astronaut</font></b> in the Manned Spaceflight Engineer Program during the mid-1980s.	"
	null	
"	<b><font color=""purple"">Holder</font></b> was born in Detroit, Michigan, USA and now resides in Seattle, Washington.	"
"	<b><font color=""purple"">He</font></b> has three sons (Jonathan, Nathan, and Christopher).	"
"	<b><font color=""purple"">He</font></b> holds a B.S. in Astronautical Engineering from the United States Air Force Academy, and an M.S. in Systems Management from University of Southern California.	"
"	While serving in the Air Force, <b><font color=""purple"">Holder</font></b> was a Titan III launch crew member at Vandenberg AFB, California.	"
"	<b><font color=""purple"">He</font></b> also served in the Office of the Secretary of the Air Force, Special Projects organization, <b><font color=""purple"">Los Angeles AFS</font></b>, <b><font color=""purple"">California</font></b>, on a classified satellite program.	"
"	<b><font color=""purple"">Holder</font></b> trained and qualified as a Manned Spaceflight Engineer and Space Shuttle payload specialist from 1982 to 1988.	"
"	<b><font color=""purple"">He</font></b> remains active in supporting youth education through the Space Foundation, most recently visiting Alaska schools to share his experiences.	"
"	<b><font color=""purple"">Holder</font></b> joined Boeing in 1988, where he was the manager of the aircraft and spacecraft segments of the RESOURCE21 Program.	"
	Later he managed the International Space Station (ISS) international integration activities with responsibility for the ISS Habitation Module.	
	In 1994 he became the program manager for the Sea Launch program during initial development.	
"	<b><font color=""purple"">He</font></b> was Chief Engineer and Program Manager of Aviation Information Services (the precursor to Connexion by Boeing).	"
"	From 1995 to 1996, <b><font color=""purple"">Holder</font></b> led Boeing's Future Space Transportation organizations, which included Boeing's participation in the X-33/Reusable Launch Vehicle Program.	"
"	<b><font color=""purple"">Holder</font></b> served as the Chairperson for COMSTAC at the US Department of Transportation from May 2000 until October 2003.	"
	null	
"	<b><font color=""purple"">He</font></b> led the company to its first DoD contracts on the Falcon program, a joint DARPA/USAF effort.	"
	null	
"	In 2006, <b><font color=""purple"">Holder</font></b> joined AirLaunch LLC (founded by space entrepreneur Gary Hudson) as Chief Program Executive.	"
	null	
"	<b><font color=""purple"">He</font></b> currently heads <b><font color=""purple"">Holder</font></b> Aerospace, an engineering consulting company in <b><font color=""purple"">partnership</font></b> with Curtis <b><font color=""purple"">Gifford</font></b>, located in Renton, Washington.	"
