Sentence
"	<b><font color=""purple"">Loren James Shriver</font></b> (born 23 September 1944) is a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>, aviator, and a retired <b><font color=""purple"">US Air Force</font></b> <b><font color=""purple"">Colonel</font></b>.	"
"	<b><font color=""purple"">Shriver</font></b> currently holds the position of Deputy Director for Launch and Payload Processing at <b><font color=""purple"">NASA</font></b>'s <b><font color=""purple"">Kennedy</font></b> <b><font color=""purple"">Space</font></b> <b><font color=""purple"">Center</font></b>.	"
"	Before taking this position in 1997, <b><font color=""purple"">Shriver</font></b> served as the Space Shuttle program Manager for Launch Integration.	"
"	<b><font color=""purple"">Shriver</font></b> was commissioned in 1967, and served from 1969 to 1973 as a T-38 academic instructor pilot at Vance Air Force Base, Oklahoma.	"
	In 1973 he was then assigned to an overseas tour in Thailand.	
"	Beginning in 1975, he attended the United States Air Force Test Pilot School at Edwards Air Force Base, California.	"
"	<b><font color=""purple"">He</font></b> was later assigned to the 6512th <b><font color=""purple"">Test</font></b> Squadron, and in 1976, <b><font color=""purple"">Shriver</font></b> began serving as <b><font color=""purple"">a test pilot</font></b> for the F-15 Joint <b><font color=""purple"">Test</font></b> Force.	"
"	<b><font color=""purple"">Shriver</font></b> was selected as <b><font color=""purple"">an astronaut</font></b> by <b><font color=""purple"">NASA</font></b> in January 1978, participated in three <b><font color=""purple"">space</font></b> flights, and logged over 386 hours in <b><font color=""purple"">space</font></b>.	"
"	<b><font color=""purple"">Shriver</font></b> was pilot of <b><font color=""purple"">STS-51-C</font></b>, launched from <b><font color=""purple"">Kennedy Space Center</font></b> on 24 January 1985.	"
"	<b><font color=""purple"">Shriver</font></b> commanded a crew of five on his second mission, <b><font color=""purple"">STS-31</font></b> which launched on 24 April 1990.	"
	This five-day flight deployed the Hubble Space Telescope.	
"	<b><font color=""purple"">Shriver</font></b> also commanded mission <b><font color=""purple"">STS-46</font></b> in 1992.	"
"	<b><font color=""purple"">Shriver</font></b> was born in Jefferson, Iowa.	"
"	<b><font color=""purple"">He</font></b> and his wife, Susan Diane, have three daughters: Camilla, Melinda, and Rebecca, and one son: Jered.	"
"	The Shrivers reside in Titusville, Florida.	"
	null	
