Sentence
"	<b><font color=""purple"">Muhammed</font></b> Ahmed <b><font color=""purple"">Faris</font></b> (Arabic: ???? ???? ?????; born 26 May 1951) is a Syrian military aviator.	"
"	<b><font color=""purple"">He</font></b> was the first Syrian and the second Arab in space.	"
"	Born in Aleppo, Syria, he was a pilot in <b><font color=""purple"">the Syrian Air Force</font></b> with the rank of a colonel.	"
"	<b><font color=""purple"">He</font></b> specialized in navigation when he was selected to participate in the <b><font color=""purple"">Intercosmos</font></b> spaceflight program on 30 September 1985.	"
	null	
"	<b><font color=""purple"">He</font></b> returned to Earth aboard <b><font color=""purple"">Soyuz TM-2</font></b>.	"
"	<b><font color=""purple"">Muhammed</font></b> <b><font color=""purple"">Faris</font></b> was awarded the title Hero of the Soviet Union on 30 July 1987.	"
"	<b><font color=""purple"">He</font></b> was also awarded the Order of Lenin.	"
"	After his spaceflight, he returned to <b><font color=""purple"">the Syrian Air Force</font></b> and lived in <b><font color=""purple"">Aleppo</font></b>.	"
"	<b><font color=""purple"">He</font></b> is married and has three children.	"
"	On 4 August 2012, during the Syrian civil war, he defected from Assad's government and joined the armed opposition.	"
"	On 13 September 2012, made an exclusive interview with Al Aan TV and covered many topics regarding the Syrian civil war.	"
