Sentence
	null	
"	<b><font color=""purple"">He</font></b> has also performed eight career spacewalks with a total time of 44 hours.	"
"	Named a cosmonaut candidate in 1989, Budarin's first space mission was a long-term assignment aboard the space station Mir in 1995.	"
"	Since then, he again made extended stays on Mir in 1998 and the <b><font color=""purple"">International Space Station</font></b> <b><font color=""purple"">Expedition 6</font></b> from 2002 to 2003.	"
"	<b><font color=""purple"">Nikolai</font></b> <b><font color=""purple"">Budarin</font></b> is married to Marina Lvovna Budarina (ne Sidorenko).	"
"	They have two sons, Dmitry born in 1977 and Vladislav, born in 1983.	"
"	His hobbies include fishing, skiing, picking mushrooms, tourism and cycling.	"
"	His father, Mikhail Romanovich Budarin, died in 1984.	"
"	His mother, Alexandra Mikhailovna Budarina, died in 1986.	"
"	Since 2007 he is a member of <b><font color=""purple"">the Russian parliament</font></b>, <b><font color=""purple"">the State Duma</font></b>, representing the pro-Kremlin <b><font color=""purple"">United Russia</font></b> party.	"
"	Specializing in aircraft manufacturing, <b><font color=""purple"">Budarin</font></b> graduated from the night-time education department of Ordzhonikidze Moscow Aviation Institute in 1979 with a mechanical engineering diploma.	"
"	From 1971 to 1973 <b><font color=""purple"">Budarin</font></b> was serving the Soviet Army in Czechoslovakia.	"
"	<b><font color=""purple"">Budarin</font></b> occupied various engineering positions at NPO Energia where he was involved in experimental investigations and testing of space technology.	"
	null	
	In February 1989 he was enrolled in the Energia cosmonaut detachment as a candidate test cosmonaut.	
	null	
"	From February 1991 to December 1993, he took an advanced training course for the Soyuz-TM transport vehicle and the Mir Station flight.	"
	null	
	null	
"	From June 27 to September 11, 1995, <b><font color=""purple"">Budarin</font></b> participated in a space mission as a board engineer of the 19th long-term Mir expedition.	"
"	<b><font color=""purple"">He</font></b> was launched into <b><font color=""purple"">space</font></b> by Space ShuttleAtlantis on the <b><font color=""purple"">STS-71</font></b> mission.	"
"	Atlantis lifted off from the Kennedy Space Center at 19:32:19 UTC on June 27, 1995.	"
"	After 2 days of solo flight the space shuttle docked with the Mir station on June 29, 1995, at 13:00:16 UTC.	"
"	<b><font color=""purple"">Budarin</font></b> spent 75 days, 11 hours and 20minutes in space and landed on the <b><font color=""purple"">Soyuz TM-21</font></b> spacecraft.	"
"	The Soyuz capsule carrying <b><font color=""purple"">Budarin</font></b> and cosmonaut Anatoly Solovyev landed on September 11, 1995 at 06:52:40 UTC, 108km north east of Arkalyk.	"
	null	
	null	
"	Following a two day autonomous flight the Soyuz spacecraft docked with the Mir station on January 31, 1998.	"
"	Musabayev and <b><font color=""purple"">Budarin</font></b> together with NASA <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Andy Thomas</font></b> became the 25th resident crew of Mir.	"
	null	
	They also worked on common scientific experiments.	
"	<b><font color=""purple"">Soyuz TM-27</font></b> carrying Budarin, Musabayev and Yuri <b><font color=""purple"">Baturin</font></b> landed near Dzhezkazgan on August 25, 1998 at 05:24:44 UTC.	"
"	During the Soyuz and Mir missions <b><font color=""purple"">Budarin</font></b> spent 207 days, 12 hours and 51 minutes in space.	"
	null	
"	The <b><font color=""purple"">Expedition 6</font></b> crew was launched by Space Shuttle Endeavour on the <b><font color=""purple"">STS-113</font></b> mission.	"
	null	
"	During the stay aboard the ISS, Budrain spent time between several Russian science and medical experiments.	"
	One experiment called Diatomeya involved observation of ocean surface in order to determine regions best suited for fishing.	
	Another was to monitor glacier dynamics from space to better understand the effects of global warming.	
	The medical research he conducted studied the effects of microgravity on the human body.	
"	<b><font color=""purple"">Budarin</font></b> returned to Earth on board the <b><font color=""purple"">Soyuz TMA-1</font></b> spacecraft with <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronauts</font></b> <b><font color=""purple"">Kenneth Bowersox</font></b> and <b><font color=""purple"">Donald Pettit</font></b>.	"
"	The capsule landed on May 4, 2003 at 02:04:25 UTC and following a ballistic trajectory.	"
	A technical commission was established to find the cause of the problem.	
	null	
"	During his two visits to the Mir orbital station, <b><font color=""purple"">Budarin</font></b> performed eight spacewalks totaling 44 hours.	"
"	On July 14, 1995, <b><font color=""purple"">Budarin</font></b> conducted his first career spacewalk joined by fellow cosmonaut, Anatoly Solovyev.	"
	The two spacwalkers deployed the Spektr solar array and inspected the docking port.	
	The spacewalk lasted 5 hours and 34 minutes.	
"	On July 19, 1995, <b><font color=""purple"">Budarin</font></b> conducted his second career spacewalk along with Anatoly Solovyev.	"
	The two prepared for MIRAS spectrometer deployment and retrieved the TREK experiment and changed exposure materials.	
	The spacewalk lasted 3 hours and 8 minutes.	
"	Two days later on July 21, <b><font color=""purple"">Budarin</font></b> conducted his third career spacewalk, again with Solovyev.	"
"	During the 5 hour 35 minute EVA, the two installed the MIRAS spectrometer.	"
"	On April 1, 1998, <b><font color=""purple"">Budarin</font></b> conducted his fourth career spacewalk.	"
"	<b><font color=""purple"">He</font></b> and fellow <b><font color=""purple"">cosmonaut</font></b> <b><font color=""purple"">Talgat Musabayev</font></b> started repairing a solar panel damaged in the collision between Mir and the Progress M-34 supply ship.	"
"	The spacewalk started at 13:35 UTC and ended at 20:15 UTC, lasting 6 hours and 40 minutes.	"
"	On April 6, 1998, <b><font color=""purple"">Budarin</font></b> conducted his fifth career spacewalk, with Talgat Musabayev.	"
"	<b><font color=""purple"">The two</font></b> completed the repair <b><font color=""purple"">work</font></b> on the broken Spektr solar panel.	"
	The spacewalk lasted 4 hours and 15 minutes.	
	null	
	The two were ordered to rush through the final bracing procedure and then perform an expedited entry.	
	null	
"	<b><font color=""purple"">Budarin</font></b> failed to open the last of the 10 locks that was closed so tightly and in the process he broke three wrenches.	"
"	On April 11, 1998, <b><font color=""purple"">Budarin</font></b> conducted his sixth career spacewalk.	"
"	Along with Talgat Musabayev, the two removed Mir's VDU.	"
	The spacewalk lasted 6 hours and 25 minutes.	
"	On April 17, 1998, <b><font color=""purple"">Budarin</font></b> conducted his seventh career spacewalk.	"
"	During a 6 hour 33 minute spacewalk, <b><font color=""purple"">Budarin</font></b> and Talgat Musabayev installed a new VDU which was delivered by Progress M-38.	"
	The spacewalk lasted 6 hours and 33 minutes.	
"	Five days later on April 22, <b><font color=""purple"">Budarin</font></b> completed his eighth career spacewalk.	"
"	<b><font color=""purple"">He</font></b> and Musabayev completed the new VDU installation.	"
	The spacewalk lasted 6 hours and 21 minutes.	
"	During <b><font color=""purple"">Expedition 6</font></b>, on January 15, 2003, <b><font color=""purple"">Budarin</font></b> was supposed to join <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Kenneth Bowersox</font></b> in a six-hour spacewalk outside <b><font color=""purple"">the ISS</font></b>.	"
	null	
"	The claim was rejected by the <b><font color=""purple"">Russian</font></b> authorities, which pronounced <b><font color=""purple"">Budarin</font></b> was healthy despite NASA concerns about cardiovascular ""peculiarities"".	"
"	They said that the peculiarities of Budarin's cardiovascular system were known to the authorities and that <b><font color=""purple"">Budarin</font></b> had them on previous flights as well.	"
"	The spacewalk was eventually carried out by <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronauts</font></b> <b><font color=""purple"">Bowersox</font></b> and <b><font color=""purple"">Donald Pettit</font></b>.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
