Sentence
"	<b><font color=""purple"">Oleg</font></b> Germanovich <b><font color=""purple"">Artemyev</font></b> (<b><font color=""purple"">Russian</font></b>: ???? ?????????? ????????; born December 28, 1970) is a <b><font color=""purple"">Latvian</font></b> Cosmonaut for the <b><font color=""purple"">Russian</font></b> Federal Space Agency.	"
"	<b><font color=""purple"">He</font></b> was selected as part of the RKKE-15 Cosmonaut group in 2003.	"
"	<b><font color=""purple"">Artemyev</font></b> was born in <b><font color=""purple"">Riga</font></b> in the Latvian Soviet Socialist Republic, present-day <b><font color=""purple"">Latvia</font></b>, on December 28, 1970.	"
"	<b><font color=""purple"">He</font></b> graduated from the Tallinn Polytechnical School in 1990.	"
"	After his graduation, <b><font color=""purple"">Artemyev</font></b> served in the Soviet Army in Vilnius, Lithuania, until 1991.	"
"	<b><font color=""purple"">He</font></b> has worked at RKKE since 1998.	"
"	<b><font color=""purple"">Artemyev</font></b> was selected as part of the RKKE-15 Cosmonaut group on May 29, 2003.	"
"	<b><font color=""purple"">He</font></b> is currently training as a member of the Expedition 39/Expedition 40 long-duration International Space Station crew.	"
"	<b><font color=""purple"">Artemyev</font></b> was a crew member in the 15-day and 105-day precursor studies of the Mars-500 program.	"
"	The mission is scheduled to launch on a Soyuz rocket from the Baikonur Cosmodrome, Kazakhstan, in May 2014.	"
	The mission is scheduled to last until November 2014.	
