Sentence
	null	
"	<b><font color=""purple"">He</font></b> is the father of <b><font color=""purple"">Robert Garriott</font></b> and fellow spacefarer <b><font color=""purple"">Richard Garriott</font></b>, with whom he helped found <b><font color=""purple"">Origin Systems</font></b>.	"
"	<b><font color=""purple"">Garriott</font></b> was born in Enid, Oklahoma.	"
	null	
"	<b><font color=""purple"">He</font></b> completed a one-year U.S. Air Force Pilot Training Program in 1966, receiving qualification as pilot in jet aircraft.	"
"	<b><font color=""purple"">Garriott</font></b> served as electronics officer in the United States Navy from 1953 to 1956.	"
"	From 1961 through 1965 he was an assistant professor, then associate professor in the Department of Electrical Engineering at Stanford University.	"
	null	
"	In 1965, <b><font color=""purple"">Garriott</font></b> was one of the six scientist-astronauts selected by <b><font color=""purple"">NASA</font></b>.	"
"	His first spaceflight, the <b><font color=""purple"">Skylab 3</font></b> mission in 1973, set a world record for duration of approximately 60 days, more than double the previous record.	"
"	Extensive experiments were conducted of the Sun, of Earth resources and in various life sciences relating to human adaptation to weightlessness.	"
"	His second <b><font color=""purple"">space</font></b> flight was aboard <b><font color=""purple"">STS-9</font></b> (Spacelab-1) in 1983, a multidisciplinary and international mission of 10 days aboard <b><font color=""purple"">space</font></b> shuttle Columbia.	"
"	Over 70 separate experiments in six different disciplines were conducted, primarily to demonstrate the suitability of Spacelab for research in all these areas.	"
	null	
	null	
	In the latter post he was responsible for all research in the physical sciences at JSC.	
"	From 1984 to 1986, he held the position of project scientist in the Space Station Project Office.	"
	In this position he worked closely with the external scientific communities and advised the project manager concerning the scientific suitability of the space station design.	
"	On September 10, 1973, controllers in Houston were startled to hear a woman's voice beaming down from Skylab.	"
	null	
"	After several minutes in which she described forest fires seen from space and the beautiful sunrise, the woman said: ""Uh-oh.	"
	I have to cut off now.	
"	I think the boys are floating up here toward the command module and I'm not supposed to be talking to you.""	"
"	As the <b><font color=""purple"">Skylab</font></b> crew subsequently revealed, <b><font color=""purple"">Garriott</font></b> had recorded his wife Helen during a private radio transmission the night before.	"
"	After leaving <b><font color=""purple"">NASA</font></b> in June 1986, <b><font color=""purple"">Garriott</font></b> consulted for various aerospace companies and served as a member of several <b><font color=""purple"">NASA</font></b> and National Research Council Committees.	"
"	From January 1988 until May 1993, he was vice president of space programs at Teledyne Brown Engineering.	"
	null	
	null	
	null	
	null	
"	Other research activities included three trips to <b><font color=""purple"">Antarctica</font></b> from which 20 <b><font color=""purple"">meteorites</font></b> were returned for laboratory study.	"
"	<b><font color=""purple"">Garriott</font></b> formed a 501c-3 public philanthropic <b><font color=""purple"">Garriott</font></b> Family Foundation to finance the aforementioned adventure travel for himself, his wife and other members of his family.	"
"	<b><font color=""purple"">Garriott</font></b> is the father of Richard <b><font color=""purple"">Garriott</font></b>, a computer programmer and the creator of the Ultima computer game series.	"
"	<b><font color=""purple"">Owen</font></b> K. <b><font color=""purple"">Garriott</font></b> appears in Ultima II, apparently looking for a rocket.	"
"	The shipwright character <b><font color=""purple"">Owen</font></b> from Ultima VII is named after him.	"
	null	
	null	
	null	
	null	
"	A street named after him in Enid, <b><font color=""purple"">Oklahoma</font></b> serves as one of the city's main thoroughfares.	"
	null	
"	<b><font color=""purple"">Garriott</font></b> is co-author, with fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Joseph Kerwin</font></b> and <b><font color=""purple"">writer</font></b> <b><font color=""purple"">David Hitt</font></b>, of Homesteading Space, a history of the Skylab program, published in 2008.	"
"	<b><font color=""purple"">He</font></b> is co-author of Introduction to Ionospheric Physics with Henry Rishbeth.	"
"	<b><font color=""purple"">Garriott</font></b> was also a contributor to the book <b><font color=""purple"">NASA</font></b>'s Scientist-Astronauts by David Shayler and Colin Burgess.	"
"	The text of this article is based on his biography from <b><font color=""purple"">NASA</font></b>, dated August 2002.	"
