Sentence
	null	
"	<b><font color=""purple"">Sharma</font></b> was <b><font color=""purple"">the first Indian</font></b> to travel in space.	"
"	The first <b><font color=""purple"">Indian</font></b> to fly into space, <b><font color=""purple"">Rakesh Sharma</font></b> was born on 13 January 1949 in Patiala, Punjab to <b><font color=""purple"">Hindu</font></b> Gaur parents.	"
"	<b><font color=""purple"">Sharma</font></b> joined the Indian Air Force in 1970 as a pilot officer after joining the NDA as an IAF cadet in 1966.	"
"	During the Indo-Pakistani War of 1971, <b><font color=""purple"">Sharma</font></b> flew missions in his MiG aircraft with considerable success.	"
	null	
"	<b><font color=""purple"">He</font></b> spent eight days in space on board the Salyut 7 space station.	"
"	<b><font color=""purple"">He</font></b> joined 2 other Soviet cosmonauts aboard the <b><font color=""purple"">Soyuz T-11</font></b> spacecraft which blasted off on 2 April 1984.	"
"	<b><font color=""purple"">He</font></b> graduated from Nizam College, Osmania University in Hyderabad.	"
"	Sqn Ldr <b><font color=""purple"">Rakesh Sharma</font></b> was <b><font color=""purple"">a test pilot</font></b> in the IAF.	"
"	<b><font color=""purple"">He</font></b> was selected on 20 September 1982 to become a cosmonaut.	"
"	In 1984 he became the first citizen of India to go into space when he flew aboard the Soviet rocket <b><font color=""purple"">Soyuz T-11</font></b>.	"
	The take-off from Baikonur Cosmodrome in Kazakh Soviet Socialist Republic on 2 April 1984 was a high point in Indo-Soviet relations.	
	null	
	The crew spent seven days aboard the Salyut space station during which they conducted scientific and technical studies which included 43 experimental sessions.	
"	<b><font color=""purple"">Sharma</font></b> used Yoga techniques to combat the debilitating effects of weightlessness.	"
	His work was mainly in the fields of bio-medicine and remote sensing.	
	The crew held a joint television news conference with officials in Moscow and Prime Minister Indira Gandhi.	
"	""Saare Jahan Se Achcha"", said Sqn Ldr <b><font color=""purple"">Sharma</font></b> when Prime Minister <b><font color=""purple"">Indira Gandhi</font></b> asked him how <b><font color=""purple"">India</font></b> looked from outer space.	"
"	That was also a proud moment for millions of <b><font color=""purple"">Indians</font></b> who watched <b><font color=""purple"">India</font></b> become the 14th <b><font color=""purple"">nation</font></b> to send a man to outer space.	"
"	Sqn Ldr <b><font color=""purple"">Rakesh</font></b> <b><font color=""purple"">Sharma</font></b> was awarded the Ashoka Chakra Award, for the successful completion of the Space Mission.	"
"	As were his <b><font color=""purple"">Soviet</font></b> companions Malyshev and <b><font color=""purple"">Strekalov</font></b>.	"
"	This is the first and the only time, the Ashoka Chakra was awarded to foreigners.	"
	null	
	During this time he had a lucky escape when he had to eject from a MiG-21.	
"	5 years ago <b><font color=""purple"">He</font></b> was conferred with the honour of Hero of Soviet Union upon his return from space.	"
	null	
"	<b><font color=""purple"">He</font></b> retired with the rank of Wing Commander.	"
	null	
"	<b><font color=""purple"">He</font></b> retired from test flying in 2013.	"
