Sentence
"	<b><font color=""purple"">Richard Michael Linnehan</font></b> is an <b><font color=""purple"">American</font></b> veterinarian and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">Linnehan</font></b> was born September 19, 1957, in Lowell, Massachusetts, and was raised by his paternal grandparents, Henry and Mae Linnehan.	"
"	<b><font color=""purple"">He</font></b> grew up in the state of New Hampshire.	"
"	<b><font color=""purple"">He</font></b> is single and enjoys various sports, outdoor activities and natural history.	"
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">Linnehan</font></b> was initially assigned to flight software verification in the Shuttle Avionics Integration Laboratory (SAIL).	"
"	<b><font color=""purple"">He</font></b> was subsequently assigned to the Astronaut Office Mission Development Branch, working on payload development, and mission development flight support for future Space Shuttle missions.	"
"	<b><font color=""purple"">He</font></b> first flew as a mission specialist in 1996 on <b><font color=""purple"">STS-78</font></b>, the Life Sciences and Microgravity Spacelab (LMS) mission.	"
"	In 1998, he served as the payload commander on the <b><font color=""purple"">STS-90</font></b> Neurolab mission.	"
"	In 2002, he was a member of the four-man EVA crew on <b><font color=""purple"">STS-109</font></b>.	"
"	A veteran of four space flights, <b><font color=""purple"">Linnehan</font></b> has logged over 59 days in space, including six EVAs (spacewalks) totaling 42 hours and 11 minutes.	"
"	<b><font color=""purple"">Linnehan</font></b> was recently assigned to mission <b><font color=""purple"">STS-123</font></b>.	"
"	<b><font color=""purple"">STS-78</font></b> LMS (June 20 to July 7, 1996).	"
	The Life Sciences and Microgravity Spacelab mission was flown aboard Space Shuttle Columbia.	
	null	
"	<b><font color=""purple"">STS-78</font></b> orbited the Earth 271 times, and covered 7,000,000 miles (11,000,000km) in 405 hours and 48 minutes.	"
"	<b><font color=""purple"">STS-90</font></b> Neurolab (April 17 to May 3, 1998) was <b><font color=""purple"">Linnehan</font></b>'s second Spacelab mission.	"
	null	
"	<b><font color=""purple"">STS-90</font></b> orbited the Earth 256 times, and covered 6,300,000 miles (10,100,000km) in 381 hours and 50 minutes.	"
	Both missions served as a model for future life sciences studies on board the International Space Station.	
	null	
	null	
"	With his teammate John Grunsfeld, <b><font color=""purple"">Linnehan</font></b> performed three of the five spacewalks totaling 21 hours and 9 minutes.	"
"	<b><font color=""purple"">STS-109</font></b> orbited the Earth 165 times and covered 3,900,000 miles (6,300,000km) in just over 262 hours.	"
"	<b><font color=""purple"">STS-123</font></b> (March 11 to March 26, 2008) was <b><font color=""purple"">Linnehan</font></b>'s fourth spaceflight, and his first aboard the Space Shuttle Endeavour.	"
"	The mission delivered the <b><font color=""purple"">Japanese</font></b> Logistics Module and the <b><font color=""purple"">Canadian</font></b> Special Purpose Dexterous Manipulator to the International Space Station.	"
"	<b><font color=""purple"">Linnehan</font></b> performed three of the five scheduled space walks on <b><font color=""purple"">STS-123</font></b> with <b><font color=""purple"">Garrett Reisman</font></b>, <b><font color=""purple"">Mike Foreman</font></b> and Bob <b><font color=""purple"">Behnken</font></b>.	"
