Sentence
	null	
"	<b><font color=""purple"">He</font></b> was a mission specialist on two space shuttle missions, <b><font color=""purple"">STS-9</font></b> and <b><font color=""purple"">STS-35</font></b>.	"
"	<b><font color=""purple"">He</font></b> has logged over 3,500 hours flying time in jet aircraft and 463 hours in space.	"
"	<b><font color=""purple"">Parker</font></b> was born in <b><font color=""purple"">New York City</font></b> but grew up in Shrewsbury, Massachusetts.	"
"	<b><font color=""purple"">He</font></b> attended primary and secondary schools in Shrewsbury.	"
	null	
"	Prior to his selection for astronaut training, <b><font color=""purple"">Parker</font></b> was an associate professor of astronomy at the University of WisconsinMadison.	"
"	<b><font color=""purple"">Parker</font></b> was selected as a scientist-astronaut by <b><font color=""purple"">NASA</font></b> in August 1967.	"
	null	
	null	
	null	
"	<b><font color=""purple"">Parker</font></b> was director of the Division of Policy and Plans for the Office of Space Flight at NASA Headquarters from January 1991 to December 1991.	"
"	From January 1992 to November 1993, he was director of the Spacelab and Operations Program.	"
	From December 1993 to August 1997 he was manager of the Space Operations Utilization Program.	
"	In August 1997, <b><font color=""purple"">Parker</font></b> was named director of the <b><font color=""purple"">NASA</font></b> Management Office at the Jet Propulsion Laboratory in Pasadena, California.	"
"	<b><font color=""purple"">Parker</font></b> retired from <b><font color=""purple"">NASA</font></b> on August 31, 2005.	"
"	<b><font color=""purple"">Parker</font></b> married the former Judy Woodruff of San Marino, California.	"
	They have five children and nine grandchildren.	
"	<b><font color=""purple"">Parker</font></b> is a member of the American Astronomical Society and of the International Astronomical Union.	"
"	<b><font color=""purple"">He</font></b> was awarded the NASA Exceptional Scientific Achievement Medal (1973) and the NASA Outstanding Leadership Medal (1974).	"
"	<b><font color=""purple"">Parker</font></b> was a contributor to the book, <b><font color=""purple"">NASA</font></b>'s Scientist-Astronauts by David Shayler and Colin Burgess.	"
"	In the 1998 miniseries From <b><font color=""purple"">the Earth</font></b> to <b><font color=""purple"">the Moon</font></b>, <b><font color=""purple"">Parker</font></b> was portrayed by Chris Ellis.	"
