Sentence
	null	
"	<b><font color=""purple"">Hennen</font></b> was born August 17, 1952, in Albany, Georgia, and was raised all over the world.	"
"	<b><font color=""purple"">He</font></b> now lives in Houston, Texas.	"
	Tom is married to the former Sherri Wise of Houston.	
"	Together, they have six children, Kristopher, Jessie, Karl, Kyle, Kendall, and Karli and one grandchild, Mila Michelle.	"
"	<b><font color=""purple"">He</font></b> enjoys playing basketball, bowling, dancing, snorkeling, scuba diving, sky diving, traveling, and listening to music.	"
"	His father, Chief Master Sergeant Carl H. <b><font color=""purple"">Hennen</font></b> (USAF), and his mother, Antoinette L. Hennen, are both deceased.	"
"	<b><font color=""purple"">Hennen</font></b> graduated from <b><font color=""purple"">Groveport-Madison</font></b> <b><font color=""purple"">High School</font></b> in Groveport, Ohio in 1970.	"
"	<b><font color=""purple"">He</font></b> attended Urbana College in Urbana, Ohio from 19701972 on both an academic and athletic scholarship.	"
	null	
"	<b><font color=""purple"">Hennen</font></b> served over 24 years in the imagery intelligence field.	"
	null	
"	From 1973 to 1975, he was assigned to the 163rd Military Intelligence Battalion, Fort Hood, Texas.	"
	null	
	null	
"	During 1976 through 1978, <b><font color=""purple"">Hennen</font></b> was assigned to the 203rd Military Intelligence Detachment.	"
	null	
"	<b><font color=""purple"">Hennen</font></b> was assigned to <b><font color=""purple"">the U.S. Army Intelligence Center</font></b>, <b><font color=""purple"">Fort Huachuca</font></b>, Arizona, from 1981 through 1986.	"
	null	
	null	
"	During this assignment, <b><font color=""purple"">Hennen</font></b> was appointed as Department of the <b><font color=""purple"">Army</font></b> IMINT subject matter expert.	"
	null	
	null	
"	Additionally, he participated in various Army, DOD, and <b><font color=""purple"">National</font></b> Intelligence Community working groups and subcommittees involved in TENCAP program activities.	"
"	<b><font color=""purple"">Hennen</font></b> was personally responsible for managing the development and successful fielding of a state-of-the-art IMINT system to both the European and Pacific Theaters of Operations.	"
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> orbited the Earth 109 times, traveling 2.9 million miles (4.7 million km), before landing at Edwards Air Force Base, California on December 1, 1991.	"
"	<b><font color=""purple"">Hennen</font></b> retired from <b><font color=""purple"">the U.S. Army</font></b> in December 1995.	"
	null	
	null	
	null	
