Sentence
"	<b><font color=""purple"">Thomas Pesquet</font></b> (born 27 February 1978) is a <b><font color=""purple"">French</font></b> aerospace engineer, pilot, and European Space Agency <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">Pesquet</font></b> was selected by ESA as a candidate in May 2009, and he successfully completed his basic training in November 2010.	"
"	<b><font color=""purple"">Pesquet</font></b> was born in Rouen, France and considers Paris his hometown.	"
"	<b><font color=""purple"">He</font></b> is the youngest of two brothers.	"
"	<b><font color=""purple"">Pesquet</font></b> is a black belt in judo and lists basketball, jogging, swimming, and squash as his favorite sports.	"
"	<b><font color=""purple"">He</font></b> is an outdoor and adventure <b><font color=""purple"">activities</font></b> enthusiast, and enjoys <b><font color=""purple"">mountain biking</font></b>, kite surfing, sailing, skiing and mountaineering.	"
"	<b><font color=""purple"">He</font></b> also has extensive experience with, and holds advanced licenses in both scuba diving and parachuting.	"
"	His other interests include traveling, playing the saxophone, and reading.	"
"	<b><font color=""purple"">Pesquet</font></b> graduated from the Lyce Pierre Corneille in Rouen, France, in 1998.	"
	null	
"	<b><font color=""purple"">He</font></b> spent his final year before graduation at the <b><font color=""purple"">cole Polytechnique de Montral</font></b>, <b><font color=""purple"">Canada</font></b>, as an exchange student on the Aeronautics and Space Master.	"
"	<b><font color=""purple"">Pesquet</font></b> graduated from the Air France flight school in 2006.	"
	This led to an Airline Transport Pilot License-Instrument Rating (ATPL-IR).	
	null	
"	From October 2001, he worked as a spacecraft dynamics engineer on remote sensing missions for GMV, S.A. in Madrid, Spain.	"
"	Between 2002 and 2004, <b><font color=""purple"">Pesquet</font></b> worked at <b><font color=""purple"">the French space agency</font></b>, <b><font color=""purple"">CNES</font></b>, as a research engineer on space missions autonomy.	"
"	<b><font color=""purple"">He</font></b> also carried out various studies on future European ground segment design and European space technology harmonization.	"
	null	
"	A private pilot, he was selected in 2004 for Air France's flight training programme.	"
"	<b><font color=""purple"">He</font></b> went on to become a commercial pilot for the French airline, where he started flying the Airbus A320 in 2006.	"
	null	
"	<b><font color=""purple"">Pesquet</font></b> was selected as a European Space Agency (ESA) <b><font color=""purple"">astronaut</font></b> in May 2009.	"
"	<b><font color=""purple"">He</font></b> joined ESA in September 2009 and successfully completed <b><font color=""purple"">Astronaut</font></b> Basic Training in November 2010.	"
"	Among other duties, he is currently working as a Eurocom, responsible for the communication between <b><font color=""purple"">the astronauts</font></b> in orbit and the ground during spaceflights.	"
"	<b><font color=""purple"">He</font></b> is the youngest member of the European Astronaut Corps.	"
