Sentence
"	<b><font color=""purple"">Valery Grigoryevich Korzun</font></b> (Russian: ??????? ??????????? ??????, born March 5, 1953) is a Russian cosmonaut.	"
"	<b><font color=""purple"">He</font></b> has been in space twice totalling 381 days.	"
"	<b><font color=""purple"">He</font></b> has also conducted four career spacewalks.	"
"	<b><font color=""purple"">He</font></b> is a Russian Air Force Colonel and cosmonaut of Yuri Gagarin Cosmonaut Training Center, was born March 5, 1953, in Krasny Sulin.	"
"	<b><font color=""purple"">Korzun</font></b> and his wife Elana have one son, Nikita.	"
"	His father is <b><font color=""purple"">Korzun</font></b> Grigori Andreyevich, and his mother, <b><font color=""purple"">Korzun</font></b> Maria Arsentievna.	"
"	His hobbies include tennis, badminton and theater.	"
"	In 1974, <b><font color=""purple"">Korzun</font></b> graduated from the Kachinsk higher military aviation pilot school.	"
	In 1987 he graduated from the Gagarin Military Aviation Academy.	
"	<b><font color=""purple"">Korzun</font></b> was awarded: <b><font color=""purple"">He</font></b> has also been awarded with Russian and NASA medals.	"
	null	
"	<b><font color=""purple"">Korzun</font></b> is a 1st class military pilot and has logged 1473 hours, primarily in 4 aircraft types.	"
"	<b><font color=""purple"">He</font></b> is also an Instructor of Parachute Training, and has completed 377 parachute jumps.	"
	null	
	In December 1987 he began cosmonaut training and was certified as a Test-Cosmonaut in June 1989.	
	null	
"	<b><font color=""purple"">He</font></b> also trained as a group member for flight on board the orbital complex Mir from March 1994 to June 1995.	"
"	<b><font color=""purple"">Korzun</font></b> also served as deputy Director of the 27KC crew flight training complex as crew communication supervisor from March 1994 to January 1995.	"
"	In August 1996 <b><font color=""purple"">Korzun</font></b> completed training as Commander for the Mir-22/ NASA-3 and ""Cassiopia"" (sponsored by CNES) programs.	"
	null	
	The Soyuz spacecraft lifted off from the Baikonur Cosmodrome at 13:18:03 UTC.	
"	After two days of solo flight, the Soyuz docked with the Mir station on August 19 at 14:50:23 UTC.	"
"	<b><font color=""purple"">Korzun</font></b> and Kaleri became the 22nd resident crew, first together with <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Shannon Lucid</font></b>, later with <b><font color=""purple"">astronauts</font></b> <b><font color=""purple"">John Blaha</font></b> and <b><font color=""purple"">Jerry Linenger</font></b>.	"
"	On March 2, 1997 Soyuz TM-24 carrying Korzun, Kaleri and ESA astronaut Reinhold Ewald returned to Earth.	"
	The Soyuz capsule landed landing 128km east of Dzheskasgan at 06:44 UTC.	
