Sentence
	null	
"	<b><font color=""purple"">He</font></b> is married to the former Alexandra <b><font color=""purple"">Kozlova</font></b> of <b><font color=""purple"">Ivanovo Region</font></b>, <b><font color=""purple"">Russia</font></b>.	"
	They have two children.	
	null	
"	In 1966, <b><font color=""purple"">Titov</font></b> enrolled at the Higher Air Force College in <b><font color=""purple"">Chernihiv</font></b> in <b><font color=""purple"">Ukraine</font></b>, graduating in 1970.	"
"	Until 1974, he served at the College as a pilot-instructor and was responsible for the graduation of twelve student pilots.	"
"	<b><font color=""purple"">He</font></b> later served as a flight commander with the air regiment where the cosmonauts carry out flying practice.	"
	null	
"	<b><font color=""purple"">Titov</font></b> was selected as <b><font color=""purple"">a cosmonaut</font></b> in 1976, and in September 1981 was paired with Gennady Strekalov.	"
"	The two men served as the back-up crew for <b><font color=""purple"">Soyuz T-5</font></b> in 1982 and <b><font color=""purple"">Soyuz T-9</font></b> in 1983.	"
	null	
	null	
"	<b><font color=""purple"">Titov</font></b> made his first space flight on April 20, 1983, as commander of <b><font color=""purple"">Soyuz T-8</font></b>.	"
"	<b><font color=""purple"">He</font></b> and Strekalov had been specifically trained to repair the faulty Salyut 7 solar array.	"
"	<b><font color=""purple"">He</font></b> was supposed to dock with Salyut 7, but once in orbit the Soyuz rendezvous radar antenna failed to deploy properly.	"
	Several attitude control maneuvers at high rates were made but failed to swing the boom out.	
	(The postflight inquiry later discovered that the antenna had been torn off when the Soyuz payload shroud separated.)	
"	With FCC permission, the crew attempted a rendezvous using only an optical sight and ground radar inputs for guidance.	"
"	During the final approach, which was made in darkness, <b><font color=""purple"">Titov</font></b> believed that the closing speed was too great.	"
"	<b><font color=""purple"">He</font></b> therefore attempted a braking maneuver, but felt that the two spacecraft were still closing too fast.	"
	null	
	null	
"	The fire quickly engulfed the rocket, and the automatic abort sequence failed as the wires involved burned through.	"
	Two launch controllers manually aborted the mission by sending radio commands from the launch blockhouse.	
	This was accomplished 12 seconds after the fire began.	
	null	
"	The two men were given a medical check-up, but had sustained no injuries during their brief flight which lasted 5 minutes, 30 seconds.	"
"	<b><font color=""purple"">Titov</font></b> was next assigned to command Soyuz TM-2.	"
"	<b><font color=""purple"">He</font></b> and <b><font color=""purple"">his <b><font color=""purple"">flight</font></b> engineer</font></b>, Alexander <b><font color=""purple"">Serebrov</font></b>, were scheduled for a long-duration <b><font color=""purple"">flight</font></b> on board Mir 1.	"
"	Six days prior to launch, due to doubts about Serebrov's health, they were replaced by the back-up crew.	"
"	<b><font color=""purple"">Titov</font></b> continued training for a long-duration mission, and in April 1987 was paired with Musa Manarov.	"
"	Later that year, he graduated from the Yuri Gagarin Air Force Academy while continuing his work at the Yuri Gagarin Cosmonaut Training Center.	"
"	His next assignment came as the commander of <b><font color=""purple"">Soyuz TM-4</font></b>, which launched on December 21, 1987.	"
"	Together with Musa Manarov and Anatoli Levchenko, he linked up with the orbiting Mir 1 space station and her crew.	"
"	After a short period of joint work, Romanenko, Alexandrov, and Levchenko returned to Earth handing over the space station to <b><font color=""purple"">Titov</font></b> and Manarov.	"
"	The two men settled down to a long program of scientific experiments and observations, and played host to the visiting <b><font color=""purple"">Soyuz TM-5</font></b> and <b><font color=""purple"">TM-6</font></b> missions.	"
"	At the end of the <b><font color=""purple"">Soyuz TM-6</font></b> visit, one of its crew, Dr. <b><font color=""purple"">Valeri Polyakov</font></b>, remained on board with <b><font color=""purple"">Titov</font></b> and Manarov.	"
	null	
	null	
"	On June 30, 1988, they attempted a repair on the <b><font color=""purple"">Roentgen</font></b> <b><font color=""purple"">X-ray</font></b> telescope.	"
	The telescope had not been designed for repair or replacement so the EVA was a difficult one.	
	null	
"	Their bulky gloves made removing the small bolts very difficult, and it took 90 minutes instead of the 20 allocated.	"
	null	
"	On October 20, 1988, repairs were successfully completed, and the X-ray telescope recommenced operations.	"
	null	
	They then settled down to their program of experiments and observations.	
"	In November 1988, they played host to the joint Soviet-French mission.	"
"	After three weeks of joint work, <b><font color=""purple"">Titov</font></b> and Manarov returned to Earth together, along with the <b><font color=""purple"">French</font></b> cosmonaut Jean-Loup <b><font color=""purple"">Chrtien</font></b> aboard <b><font color=""purple"">Soyuz TM-6</font></b>.	"
	null	
"	On October 28, 1992, <b><font color=""purple"">NASA</font></b> announced that an experienced cosmonaut would fly aboard the <b><font color=""purple"">STS-60</font></b> Space Shuttle <b><font color=""purple"">mission</font></b>.	"
"	<b><font color=""purple"">Titov</font></b> was one of two candidates named by the Russian Space Agency for mission specialist training at the Johnson Space Center.	"
	null	
"	In September 1993, <b><font color=""purple"">Titov</font></b> was selected to fly on STS-63 with Krikalev training as his back-up.	"
	null	
"	Mission highlights included the rendezvous with the Russian Space Station Mir, operation of Spacehab, and the deployment and retrieval of Spartan 204.	"
"	In completing this mission, he logged an additional 8 days, 6 hours, 29 minutes in space.	"
	null	
	null	
	null	
"	Mission accomplished in 169 orbits in 10 days, 19 hours, 21 minutes.	"
"	<b><font color=""purple"">Titov</font></b> retired from the Air Force and the Russian Space Agency in 1998.	"
"	In 1998 he became Director of Space and Communications for the Boeing Company in <b><font color=""purple"">Moscow</font></b>, <b><font color=""purple"">Russia</font></b> and <b><font color=""purple"">the Commonwealth of Independent States</font></b>.	"
"	<b><font color=""purple"">He</font></b> is currently serving as General Director, Russian Operations of Excalibur Almaz.	"
	null	
