Sentence
"	<b><font color=""purple"">Wendy Barrien Lawrence</font></b> (born July 2, 1959) is a retired <b><font color=""purple"">United States Navy</font></b> <b><font color=""purple"">Captain</font></b>, former helicopter pilot, an engineer, and a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
	null	
"	<b><font color=""purple"">She</font></b> was a mission specialist on <b><font color=""purple"">STS-114</font></b>, the first Space Shuttle flight after the Space Shuttle Columbia disaster.	"
"	<b><font color=""purple"">She</font></b> enjoys running, rowing, and triathlons.	"
"	Captain <b><font color=""purple"">Lawrence</font></b> is unmarried.	"
"	<b><font color=""purple"">Lawrence</font></b> was born in Jacksonville, Florida.	"
	null	
"	<b><font color=""purple"">Lawrence</font></b> graduated from Fort Hunt High School in Alexandria, Virginia in 1977.	"
"	<b><font color=""purple"">She</font></b> went on to attend the U.S. Naval Academy, graduating in 1981 with a Bachelor of Science in ocean engineering.	"
	null	
"	<b><font color=""purple"">She</font></b> is also a recipient of the <b><font color=""purple"">National</font></b> Navy Leagues Captain Winifred Collins Award for inspirational leadership (<b><font color=""purple"">1986</font></b>).	"
"	<b><font color=""purple"">Lawrence</font></b> graduated from the U.S. Naval Academy in 1981.	"
"	A distinguished flight school graduate, she was designated as a Naval Aviator in July 1982.	"
"	<b><font color=""purple"">Lawrence</font></b> has more than 1,500 hours of flight time in six different types of helicopters and has made more than 800 shipboard landings.	"
	null	
	null	
"	In October 1990, <b><font color=""purple"">Lawrence</font></b> reported to the U.S. Naval Academy where she served as a <b><font color=""purple"">physics</font></b> instructor and the novice womens crew coach.	"
"	Selected by <b><font color=""purple"">NASA</font></b> in March 1992, <b><font color=""purple"">Lawrence</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1992.	"
"	<b><font color=""purple"">She</font></b> completed one year of training and was qualified for flight assignment as a Mission Specialist.	"
	null	
"	<b><font color=""purple"">She</font></b> flew as the ascent/entry flight engineer and blueshift orbit pilot on <b><font color=""purple"">STS-67</font></b> (March 218, 1995).	"
	null	
	In September 1996 she began training as a backup crew member for a 4-month mission on the Russian Space Station Mir.	
	null	
"	A veteran of four space flights, she logged over 1,200 hours in space.	"
"	<b><font color=""purple"">Lawrence</font></b> was a Mission Specialist on the crew of <b><font color=""purple"">STS-114</font></b>.	"
	null	
"	The mission launched on July 26, 2005 and landed on August 9, 2005.	"
"	Captain <b><font color=""purple"">Lawrence</font></b> retired from <b><font color=""purple"">NASA</font></b> in June 2006.	"
"	<b><font color=""purple"">STS-67</font></b> Endeavour (March 218, 1995) was the second flight of the ASTRO observatory, a unique complement of three telescopes.	"
	null	
	Mission duration was 399 hours and 9 minutes.	
"	<b><font color=""purple"">STS-86</font></b> Atlantis (September 25 to October 6, 1997) was the seventh mission to rendezvous and dock with the Russian Space Station Mir.	"
	null	
	Mission duration was 169 orbits in 259 hours and 21 minutes.	
"	<b><font color=""purple"">STS-91</font></b> Discovery (June 212, 1998) was the 9th and final Shuttle-Mir docking mission and marked the conclusion of the joint <b><font color=""purple"">U.S.</font></b>/Russian Phase I Program.	"
"	Mission duration was 235 hours, 54 minutes.	"
"	<b><font color=""purple"">STS-114</font></b> Discovery (July 26  August 9, 2005) was the first ""Return to Flight"" mission following the Space Shuttle Columbia disaster.	"
	Highlights included the first in-flight repair to the orbiter during a spacewalk.	
"	Mission duration was 333 hours, 33 minutes.	"
