Sentence
" Primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b>		"
" Primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b> is <b><font color=""purple"">cancer</font></b> of <b><font color=""purple"">white blood cells</font></b> that starts in the <b><font color=""purple"">brain</font></b>.		"
" Patients who have a weakened immune system are at high risk of primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b>.		"
" Common causes of a weakened immune system include HIV and having had an <b><font color=""purple"">organ transplant</font></b> (especially <b><font color=""purple"">heart transplant</font></b>).		"
" Primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b> may be linked to Epstein-Barr Virus (EBV), especially in people with HIV.		"
" Primary <b><font color=""purple"">brain lymphoma</font></b> is more common in <b><font color=""purple"">people</font></b> ages 45 to 70.		"
" Symptoms of primary brain lymphoma may include any of the following:  - Changes in speech  - Changes in vision  - Confusion  - Fever   - Hallucinations  - Headaches  - Leaning to one side when <b><font color=""purple"">walking</font></b>  - Loss of coordination  - Numbness to hot, cold, and pain  - Personality changes  - Seizures  - Weakness in hands  - <b><font color=""purple"">Weight loss</font></b>		"
" The following tests may be done to help diagnose a primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b>:  - Biopsy of the brain  - Head CT scan or MRI  - Spinal tap (lumbar puncture)		"
" Primary <b><font color=""purple"">lymphoma</font></b> of the <b><font color=""purple"">brain</font></b> is usually first treated with <b><font color=""purple"">corticosteroids</font></b> to control <b><font color=""purple"">swelling</font></b> and improve symptoms.		"
" The main <b><font color=""purple"">treatment</font></b> is with <b><font color=""purple"">chemotherapy</font></b>.		"
" Younger <b><font color=""purple"">patients</font></b> may receive <b><font color=""purple"">high-dose chemotherapy</font></b>, followed by an autologous stem cell transplant.		"
" <b><font color=""purple"">Radiation therapy</font></b> of the whole brain may be done after <b><font color=""purple"">chemotherapy</font></b>.		"
" Without treatment, <b><font color=""purple"">patients</font></b> with primary <b><font color=""purple"">brain lymphoma</font></b> survive for less than 2 months.		"
" <b><font color=""purple"">Patients</font></b> who are treated with <b><font color=""purple"">chemotherapy</font></b> often survive 3 to 4 years or more.		"
