Sentence
"	<b><font color=""purple"">Alan</font></b> LaVern <b><font color=""purple"">Bean</font></b> (born March 15, 1932) is a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> and currently a painter.	"
"	<b><font color=""purple"">Bean</font></b> was selected to become <b><font color=""purple"">an astronaut</font></b> by <b><font color=""purple"">NASA</font></b> in 1963 as part of Astronaut Group 3.	"
"	<b><font color=""purple"">He</font></b> made his first flight into space aboard <b><font color=""purple"">Apollo 12</font></b>, the second manned mission to land on the Moon, at the age of thirty-seven <b><font color=""purple"">years</font></b> in November <b><font color=""purple"">1969</font></b>.	"
"	During this mission, <b><font color=""purple"">Bean</font></b> became <b><font color=""purple"">the fourth person</font></b> to walk on the Moon.	"
"	<b><font color=""purple"">He</font></b> made his second and final flight into space on the <b><font color=""purple"">Skylab 3</font></b> mission in 1973, the second manned mission to the Skylab space station.	"
"	After retiring from <b><font color=""purple"">the United States Navy</font></b> in 1975 and <b><font color=""purple"">NASA</font></b> in 1981, <b><font color=""purple"">Bean</font></b> pursued his interest in painting, depicting various <b><font color=""purple"">space</font></b>-related scenes and documenting his own experiences in <b><font color=""purple"">space</font></b> as well as that of his fellow Apollo Program <b><font color=""purple"">astronauts</font></b>.	"
"	<b><font color=""purple"">Bean</font></b> was born in Wheeler, the seat of Wheeler County in the northeastern Texas Panhandle.	"
"	<b><font color=""purple"">He</font></b> is of Scottish descent.	"
"	As a boy, he lived in Minden, the seat of Webster Parish in northwestern Louisiana, where his father worked for the U.S. Soil Conservation Service.	"
"	<b><font color=""purple"">Bean</font></b> graduated from <b><font color=""purple"">R. L. Paschal High School</font></b> in <b><font color=""purple"">Fort Worth</font></b>, <b><font color=""purple"">Texas</font></b>.	"
"	<b><font color=""purple"">He</font></b> received a Bachelor of Science degree in aeronautical engineering from the University of Texas at Austin in 1955.	"
	At UT he was a member of Delta Kappa Epsilon fraternity (Omega Chi chapter).	
"	After a four year tour as a fighter pilot assigned to a jet attack squadron in Jacksonville, Florida, he attended the U.S. Naval Test Pilot School, where his instructor was his future <b><font color=""purple"">Apollo 12</font></b> Commander <b><font color=""purple"">Pete Conrad</font></b>.	"
"	<b><font color=""purple"">He</font></b> then flew as <b><font color=""purple"">a test pilot</font></b> on several types of naval aircraft.	"
"	<b><font color=""purple"">He</font></b> was awarded an honorary doctorate of science from <b><font color=""purple"">Texas Wesleyan College</font></b> in 1972, and was presented an honorary doctorate of engineering science degree from <b><font color=""purple"">the University</font></b> of Akron (Ohio) in 1974.	"
"	<b><font color=""purple"">Bean</font></b> was selected by <b><font color=""purple"">NASA</font></b> as part of Astronaut Group 3 in <b><font color=""purple"">1963</font></b> (after not being selected for Astronaut Group 2 the previous <b><font color=""purple"">year</font></b>).	"
"	<b><font color=""purple"">He</font></b> was selected to be the backup Command Pilot for <b><font color=""purple"">Gemini 10</font></b> but was unsuccessful in securing an early Apollo flight assignment.	"
"	<b><font color=""purple"">He</font></b> was placed in the Apollo Applications Program in the interim.	"
"	In that capacity, he is <b><font color=""purple"">the first astronaut</font></b> to dive in the Neutral Buoyancy Simulator and a champion of the process for astronaut training.	"
"	When fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Clifton Williams</font></b> was killed in an air crash, a space was opened for <b><font color=""purple"">Bean</font></b> on the back-up crew for <b><font color=""purple"">Apollo 9</font></b>.	"
"	<b><font color=""purple"">Apollo 12</font></b> Commander <b><font color=""purple"">Conrad</font></b>, who had instructed <b><font color=""purple"">Bean</font></b> at the Naval Flight Test School years before, personally requested <b><font color=""purple"">Bean</font></b> to replace Williams.	"
"	<b><font color=""purple"">Bean</font></b> was the lunar module pilot on <b><font color=""purple"">Apollo 12</font></b>, the second lunar landing.	"
"	In November 1969, Al <b><font color=""purple"">Bean</font></b> and Pete Conrad landed in the Moon's Ocean of Stormsafter a flight of 250,000 miles and a launch that included a harrowing lightning strike.	"
"	<b><font color=""purple"">Bean</font></b> was <b><font color=""purple"">the astronaut</font></b> who executed John Aaron's famous ""Flight, try SCE to 'Aux'"" instruction to restore telemetry after the spacecraft was struck by lightning 36 seconds after launch, thus salvaging the mission.	"
"	They explored the lunar surface, deployed several lunar surface experiments, and installed the first nuclear power generator station on the Moon to provide the power source.	"
	Dick Gordon remained in lunar orbit photographing landing sites for future missions.	
"	<b><font color=""purple"">Bean</font></b> had planned on using a self-timer for his Hasselblad camera in order to take a photograph of both himself and Pete Conrad while on the lunar surface near the Surveyor III spacecraft.	"
"	<b><font color=""purple"">Bean</font></b> was hoping not only to record a wonderful photo, but also to confuse the scientists back home on how the photo could have been taken.	"
"	However, neither he nor Conrad could locate the timer in the tool carrier tote bag while at the Surveyor III site and thus lost the opportunity.	"
"	<b><font color=""purple"">Bean</font></b> did not locate the self-timer until the very end of the EVA when it was too late to use - at which point <b><font color=""purple"">Bean</font></b> threw it as hard as he could.	"
"	Beans paintings of what this photo would have looked like (titled ""The Fabulous Photo We Never Took"") and one of his fruitless search for the timer (""Our Little Secret"") are included in his collection of Apollo paintings.	"
"	Bean's Moon suit is on display in the Fort Worth Museum of Science and History in Fort Worth, Texas.	"
"	<b><font color=""purple"">Bean</font></b> was also the spacecraft commander of <b><font color=""purple"">Skylab 3</font></b>, the second manned mission to Skylab, July 29, 1973 to September 25, 1973.	"
"	With him on the 59-day, 24,400,000 mile world record setting flight were scientist-astronaut Dr. Owen Garriott and <b><font color=""purple"">Marine Corps</font></b> Lieutenant Colonel <b><font color=""purple"">Jack Lousma</font></b>.	"
"	During the mission <b><font color=""purple"">Bean</font></b> also tested a prototype of the Manned Maneuvering Unit and performed one space walk outside the Skylab.	"
"	On his next assignment, <b><font color=""purple"">Bean</font></b> was backup spacecraft commander of the <b><font color=""purple"">United States</font></b> flight crew for the joint American-Russian <b><font color=""purple"">Apollo-Soyuz Test Project</font></b>.	"
"	<b><font color=""purple"">Bean</font></b> retired from the Navy in October 1975 as a Captain but continued as head of the <b><font color=""purple"">Astronaut</font></b> Candidate Operations and Training Group within the <b><font color=""purple"">Astronaut</font></b> Office in a civilian capacity.	"
"	<b><font color=""purple"">Bean</font></b> resigned from <b><font color=""purple"">NASA</font></b> in June 1981 to devote his time to painting.	"
	Many of his paintings hang on the walls of space enthusiasts.	
"	<b><font color=""purple"">He</font></b> said his decision was based on the fact that, in his 18 years as <b><font color=""purple"">an astronaut</font></b>, he was fortunate enough to visit worlds and see sights no artist's eye, past or present, has ever viewed firsthand and he hoped to express these experiences through the medium of art.	"
"	<b><font color=""purple"">He</font></b> is pursuing this dream at his home and studio in Houston.	"
"	As a painter, <b><font color=""purple"">Bean</font></b> wanted to add color to the Moon.	"
"	""I had to figure out a way to add color to the Moon without ruining it,"" he remarked.	"
"	In his paintings, the lunar landscape is not a monotonous gray, but shades of various colors.	"
"	""If I were a scientist painting the Moon, I would paint it gray.	"
"	I'm an artist, so I can add colors to the Moon"", said Bean.	"
"	<b><font color=""purple"">Alan</font></b> Bean's paintings include Lunar Grand Prix and Rock and Roll on the Ocean of Storms.	"
"	<b><font color=""purple"">He</font></b> is the only artist to use real Moon dust in his paintings.	"
"	When he began painting, he realized that keepsake patches from his space suit were dirty with Moon dust.	"
"	<b><font color=""purple"">He</font></b> adds tiny pieces of the patches to his paintings, which make them unique.	"
"	<b><font color=""purple"">He</font></b> also uses the hammer used to pound the flagpole into the lunar surface, and a bronzed Moon boot, to texture his paintings.	"
"	<b><font color=""purple"">He</font></b> is married and has two grown children, a son and a daughter.	"
"	<b><font color=""purple"">Bean</font></b> took a little piece of MacBean tartan to the Moon.	"
"	Bean's in-flight <b><font color=""purple"">Skylab</font></b> diary is featured in ""Homesteading Space,"" a history of the <b><font color=""purple"">Skylab</font></b> program co-authored by fellow <b><font color=""purple"">astronauts</font></b> <b><font color=""purple"">Joseph Kerwin</font></b> and <b><font color=""purple"">Owen Garriott</font></b> and <b><font color=""purple"">writer</font></b> <b><font color=""purple"">David Hitt</font></b>, published in 2008.	"
