Sentence
"</font></b></font></b></font></b>	<b><font color=""purple"">David Mathieson Walker</font></b>)]] (May 20, 1944 - April 23, 2001), was a <b><font color=""purple"">United States Navy|United_States_Navy]] officer and a <b><font color=""purple"">NASA|NASA]] <b><font color=""purple"">astronaut|Astronaut]].	"
"	<b><font color=""purple"">He</font></b> flew aboard four Space Shuttle missions in the 1980s and 1990s.	"
"	Born May 20, 1944, in Columbus, Georgia.	"
	null	
"	His wife, the former Paige Lucas, and two adult sons from a previous marriage, Michael and Mathieson, survive him.	"
"	<b><font color=""purple"">He</font></b> was interred at Arlington National Cemetery on May 24, 2001.	"
	null	
	null	
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> logged more than 7,500 hours flying time, with over 6,500 hours in jet aircraft.	"
"	One of 35 candidates selected by <b><font color=""purple"">NASA</font></b> in January 1978 for the new Space Shuttle program, <b><font color=""purple"">Walker</font></b> became <b><font color=""purple"">an astronaut</font></b> in August 1979.	"
	null	
	null	
"	A veteran of four spaceflights, <b><font color=""purple"">Walker</font></b> logged nearly 725 hours in space.	"
"	<b><font color=""purple"">He</font></b> was the pilot on <b><font color=""purple"">STS-51-A</font></b> in 1984, and was the commander of <b><font color=""purple"">STS-30</font></b> in 1989, <b><font color=""purple"">STS-53</font></b> in 1992 and <b><font color=""purple"">STS-69</font></b> in 1995.	"
"	<b><font color=""purple"">Walker</font></b> was in training to command STS-61-G, scheduled for a May 1986 launch when the Challenger disaster forced <b><font color=""purple"">NASA</font></b> to suspend all <b><font color=""purple"">Shuttle</font></b> <b><font color=""purple"">flights</font></b>.	"
	null	
"	That encounter and other infractions of NASA flying rules caused him to be grounded from July to September 1990, costing him the command of STS-44.	"
"	<b><font color=""purple"">STS-51-A</font></b> Discovery (November 816, 1984) was launched from and returned to land at <b><font color=""purple"">Kennedy Space Center</font></b>, Florida.	"
"	During the mission the crew deployed two satellites, <b><font color=""purple"">Canada</font></b>s Anik D-2 (<b><font color=""purple"">Telesat</font></b> H), and Hughes LEASAT-1 (Syncom IV-1).	"
"	In the first space salvage mission in history, the crew also retrieved for return to Earth the Palapa B-2 and Westar VI satellites.	"
"	Mission duration was 127 Earth orbits in 7 days, 23 hours, 44 minutes, 56 seconds.	"
"	<b><font color=""purple"">STS-30</font></b> Atlantis (May 48, 1989) was launched from <b><font color=""purple"">Kennedy Space Center</font></b>, Florida.	"
	null	
"	Magellan arrived at Venus in August 1990, and mapped over 95% of the surface of Venus.	"
"	In addition, the crew also worked on secondary payloads involving fluid research in general, chemistry, and electrical storm studies.	"
	null	
"	<b><font color=""purple"">STS-53</font></b> Discovery (December 29, 1992) was launched from <b><font color=""purple"">the Kennedy Space Center</font></b>, Florida, and also returned to land at Edwards Air Force Base, California.	"
"	During 115 Earth orbits the five-man crew deployed a classified Department of Defense payload DOD-1 and then performed several Military-Man-in-Space and <b><font color=""purple"">NASA</font></b> experiments.	"
"	Mission duration was 175 hours, 19 minutes, 17 seconds.	"
"	<b><font color=""purple"">STS-69</font></b> Endeavour (September 718, 1995) was launched from and returned to land at <b><font color=""purple"">Kennedy Space Center</font></b>, Florida.	"
	During the mission the crew successfully deployed and retrieved a SPARTAN satellite and the Wake Shield Facility.	
"	Also on board was the International Extreme Ultraviolet Hitchhiker payload, and numerous secondary payloads and medical experiments.	"
"	Mission duration was 10 days, 20 hours, 28 minutes.	"
	null	
"	<b><font color=""purple"">He</font></b> joined Ultrafast, Inc. of Malvern, Pennsylvania in April 1999 as vice president of aerospace sales.	"
"	Later he retired to McCall, Idaho, however he sometimes worked as a consultant to the Aerospace Industry.	"
"	In 1998, <b><font color=""purple"">Walker</font></b> served as space technology consultant on the film Deep Impact.	"
