Sentence
"	Frank, Viscount <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> (born 25 April 1961 in Ledeberg, Belgium) is a Belgian Air Component officer and an ESA <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> is <b><font color=""purple"">Belgium</font></b>'s second <b><font color=""purple"">person</font></b> in space (after <b><font color=""purple"">Dirk Frimout</font></b>).	"
"	<b><font color=""purple"">He</font></b> was the first ESA <b><font color=""purple"">astronaut</font></b> to command a space mission when he served as commander of ISS <b><font color=""purple"">Expedition 21</font></b>.	"
"	<b><font color=""purple"">ESA</font></b> <b><font color=""purple"">astronaut</font></b> de <b><font color=""purple"">Winne</font></b> serves currently as Head of the European Astronaut Centre of <b><font color=""purple"">the European Space Agency</font></b> in Cologne/Germany (Kln).	"
"	<b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> graduated in 1979 from the Royal School of Cadets.	"
"	In 1984, he graduated from the Royal Military Academy with the degree of Master of Sciences in Engineering (Polytechnics).	"
"	<b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> followed the elementary flying school of the Belgian Air Component at Goetsenhoven.	"
	null	
"	In 1991, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> completed the Staff Course at the Defence College in Brussels with the highest distinction.	"
	null	
"	From December 1992, Major of Royal Belgian Air Component <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> operated as <b><font color=""purple"">a test pilot</font></b> for the Belgian Air Force.	"
"	From January 1994 until April 1995, he was responsible for flight safety of the 1st Fighter Wing operating from Beauvechain.	"
	null	
	null	
"	On 12 February 1997 <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> encountered engine problems while flying in an F-16 Fighting Falcon over densely populated area near Leeuwarden.	"
"	After the onboard computer failed, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> was faced with the choice of crashing in the IJsselmeer or of ejecting over densely populated area.	"
	null	
"	In August 1998, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> became commander of the 349 Squadron operating from Kleine Brogel.	"
"	During the NATO Operation Allied Force in the Balkans, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> commanded the Dutch-Belgian Deployable Air Task Force.	"
"	<b><font color=""purple"">He</font></b> completed 17 combat sorties.	"
"	For his achievement during this operation, the Dutch government awarded him the degree of Officer of the Order of Orange-Nassau.	"
"	<b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> has collected over 2.300 flying hours in Mirage, F-16, Tornado and Jaguar.	"
"	<b><font color=""purple"">He</font></b> also serves as the Chairman of the Belgian Armed Forces Flying Personnel Association.	"
"	<b><font color=""purple"">He</font></b> currently holds the rank of Brigadier-General.	"
"	In October 1998, <b><font color=""purple"">Frank <b><font color=""purple"">De</font></b> Winne</font></b> was selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">the European Space Agency</font></b>.	"
"	In January 2000, he joined the European Astronaut Corps, whose homebase is the European Astronaut Centre in Cologne, Germany.	"
	null	
"	In August 2001, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> took up training at the Yuri Gagarin Cosmonauts Training Center near Moscow, Russia.	"
	Training included elements of Basic Training for the International Space Station as well as training as a Soyuz flight engineer.	
	null	
"	During his time in space, <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> carried out successfully a programme of 23 experiments in the fields of life and physical sciences and education.	"
"	<b><font color=""purple"">He</font></b> was the back-up crew member for <b><font color=""purple"">Lopold Eyharts</font></b> of ISS <b><font color=""purple"">Expedition 16</font></b>.	"
"	On 20 September 2007 ESA announced that <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> will take part in a six-month mission aboard the International Space Station in 2009.	"
"	On 21 November 2008, NASA announced changes to the Expedition schedule, with <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> becoming Commander of <b><font color=""purple"">Expedition 21</font></b>.	"
"	On 27 May 2009 <b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> launched aboard <b><font color=""purple"">Soyuz TMA-15</font></b>, becoming <b><font color=""purple"">the first astronaut</font></b> from <b><font color=""purple"">the European Space Agency</font></b> to command a space mission.	"
"	<b><font color=""purple"">De</font></b> <b><font color=""purple"">Winne</font></b> is married to Lena Clarke.	"
"	<b><font color=""purple"">He</font></b> has three children from a previous marriage.	"
"	<b><font color=""purple"">He</font></b> enjoys football, small PC applications and gastronomy.	"
	null	
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
