Sentence
"	<b><font color=""purple"">Jean-Jacques Favier</font></b> (Born April 13, 1949) is a <b><font color=""purple"">French</font></b> engineer and a former <b><font color=""purple"">CNES</font></b> <b><font color=""purple"">astronaut</font></b> who flew aboard <b><font color=""purple"">the STS-78</font></b> <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">Space</font></b> <b><font color=""purple"">Shuttle</font></b> <b><font color=""purple"">mission</font></b>.	"
"	<b><font color=""purple"">Favier</font></b> was due to fly aboard the Columbia mission in 2013, but later signed out of the mission.	"
"	Born in Kehl, Germany, he later married Michle Jean.	"
	They have four children.	
"	<b><font color=""purple"">He</font></b> enjoys downhill skiing, tennis, wind-surfing, and archeology.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> was the principal investigator for a <b><font color=""purple"">MEPHISTO</font></b> materials processing experiment, which made its debut on the <b><font color=""purple"">United States</font></b> Microgravity Payload in 1992 and 1994.	"
"	<b><font color=""purple"">He</font></b> became a <b><font color=""purple"">CNES</font></b> payload specialist in 1985.	"
"	<b><font color=""purple"">He</font></b> has been principal investigator of more than ten space experiments in collaboration with ESA, NASA, and the Russian Space Agency.	"
	null	
"	<b><font color=""purple"">Favier</font></b> flew on <b><font color=""purple"">STS-78</font></b> and logged over 405 hours in space.	"
"	<b><font color=""purple"">STS-78</font></b> Columbia (June 20 to July 7, 1996) was a 16-day Life and Microgravity Spacelab mission.	"
	null	
"	<b><font color=""purple"">STS-78</font></b> orbited the Earth 271 times, covering 7 million miles in 405 hours, 48 minutes.	"
