Sentence
	null	
	null	
"	In 1965 <b><font color=""purple"">Young</font></b> flew on the first manned Gemini mission, and in 1969 was the first <b><font color=""purple"">person</font></b> to orbit the moon alone during <b><font color=""purple"">Apollo 10</font></b>.	"
"	<b><font color=""purple"">He</font></b> is one of only three <b><font color=""purple"">persons</font></b> who twice journeyed to the Moon, and drove the Lunar Roving Vehicle on the Moon's surface.	"
"	<b><font color=""purple"">He</font></b> also commanded two Space Shuttle flights, including its first launch in 1981, and served as <b><font color=""purple"">Chief of the Astronaut Office</font></b> from 19741987.	"
"	<b><font color=""purple"">Young</font></b> retired from <b><font color=""purple"">NASA</font></b> in 2004.	"
"	<b><font color=""purple"">Young</font></b> was born in <b><font color=""purple"">San Francisco</font></b>, <b><font color=""purple"">California</font></b>, in 1930.	"
	null	
	null	
"	After graduating from the Georgia Institute of Technology in 1952, <b><font color=""purple"">Young</font></b> entered <b><font color=""purple"">the United States Navy</font></b>.	"
	null	
	null	
	null	
"	His test projects included evaluations of <b><font color=""purple"">the XF8U-3 Crusader III</font></b> and F-4 Phantom II <b><font color=""purple"">fighter</font></b> weapons systems.	"
"	In 1962, he set world time-to-climb records to 3,000-meter and 25,000-meter altitudes in the Phantom, and was maintenance officer of Fighter Squadron 143 (VF-143).	"
"	<b><font color=""purple"">Young</font></b> retired from the Navy as a Captain in September 1976, after completing 25 years of active military service.	"
"	Joining <b><font color=""purple"">NASA</font></b> in 1962, <b><font color=""purple"">Young</font></b> was the first of the Astronaut Group 2 to fly in <b><font color=""purple"">space</font></b>.	"
"	(He replaced <b><font color=""purple"">Thomas Stafford</font></b> as pilot of <b><font color=""purple"">Gemini 3</font></b> when Alan Shepard, the original commander, was grounded).	"
	null	
	null	
	null	
"	The assignment of <b><font color=""purple"">Ed White</font></b>, the <b><font color=""purple"">Gemini 7</font></b> backup commander, to Apollo created an opening for <b><font color=""purple"">Young</font></b> as commander of <b><font color=""purple"">Gemini 10</font></b> in 1966.	"
"	The mission performed the first dual rendezvous with two Agena target vehicles; and his pilot, Michael Collins, performed two spacewalks.	"
"	In 1966, <b><font color=""purple"">Young</font></b> was assigned to an Apollo crew with Thomas Stafford and Eugene Cernan.	"
"	This crew was assigned as backup to the second manned <b><font color=""purple"">Apollo mission</font></b>, planned before <b><font color=""purple"">the Apollo 1 fire</font></b>.	"
"	After the fire, both crews were assigned to the first actual manned mission, <b><font color=""purple"">Apollo 7</font></b> which flew in October 1968.	"
"	In May 1969, this crew flew to the Moon on <b><font color=""purple"">Apollo 10</font></b>.	"
"	While Stafford and Cernan flew <b><font color=""purple"">the Lunar Module</font></b> in <b><font color=""purple"">lunar orbit</font></b> for the first time, <b><font color=""purple"">Young</font></b> flew the Command Module solo.	"
	null	
"	<b><font color=""purple"">Young</font></b> was backup commander of <b><font color=""purple"">Apollo 13</font></b>, the troubled mission in which the Moon landing was aborted because of an explosion in the Service Module.	"
	null	
"	By rotation, <b><font color=""purple"">Young</font></b> became commander of <b><font color=""purple"">Apollo 16</font></b>, and was an enthusiastic student of geology while preparing for the mission.	"
	null	
	null	
"	<b><font color=""purple"">Young</font></b> set a speed record with the Lunar Rover.	"
"	<b><font color=""purple"">He</font></b> carried with him the badge and flag of the Sigma Chi fraternity, now on display at Sigma Chi's headquarters in Evanston, Illinois.	"
	null	
	null	
	null	
"	In January 1974, he became <b><font color=""purple"">Chief of the Astronaut Office</font></b> after the retirement of <b><font color=""purple"">Alan Shepard</font></b>.	"
	null	
"	<b><font color=""purple"">NASA</font></b> denied that his criticism triggered the move.	"
"	In February 1996, he was assigned as Associate Director (Technical) JSC.	"
	null	
	null	
"	<b><font color=""purple"">Young</font></b> worked for <b><font color=""purple"">NASA</font></b> for 42 years and announced his retirement on December 7, 2004.	"
	null	
	null	
	The two spoke of their experiences during the flight.	
"	In 2012 <b><font color=""purple"">Young</font></b> published an autobiography, Forever Young.	"
"	<b><font color=""purple"">Young</font></b> married Barbara White and had two children with her, Sandra and John, but they were divorced in 1972 after 16 years.	"
"	<b><font color=""purple"">He</font></b> later married Susy Feldman, and lives in the <b><font color=""purple"">Houston</font></b> suburb of <b><font color=""purple"">El Lago</font></b>, <b><font color=""purple"">Texas</font></b>.	"
"	In the 1995 film, <b><font color=""purple"">Apollo 13</font></b>, <b><font color=""purple"">Young</font></b> was played by Ben Marley.	"
"	In the 1998 TV miniseries, From <b><font color=""purple"">the Earth</font></b> to <b><font color=""purple"">the Moon</font></b>, he was played by <b><font color=""purple"">John</font></b> Posey.	"
	null	
