Sentence
"	<b><font color=""purple"">Joseph Jean-Pierre <b><font color=""purple"">Marc</font></b> Garneau</font></b>, C.C., CD, Ph.D., F.C.A.S.I., MP (born February 23, 1949) is <b><font color=""purple"">a Canadian politician</font></b>, retired military officer, former astronaut, and engineer.	"
"	<b><font color=""purple"">He</font></b> is currently the Member of Parliament for the riding of WestmountVille-Marie.	"
"	On November 28, 2012, <b><font color=""purple"">Garneau</font></b> announced his candidacy for the leadership of <b><font color=""purple"">the Liberal Party of Canada</font></b> to be decided in April 2013.	"
"	On March 13, 2013, Dr. <b><font color=""purple"">Garneau</font></b> formally withdrew his bid for the Party leadership.	"
"	<b><font color=""purple"">Garneau</font></b> was <b><font color=""purple"">the first Canadian</font></b> in outer space taking <b><font color=""purple"">part</font></b> in three flights aboard NASA Space shuttles.	"
	null	
"	In the 2006 federal election, he unsuccessfully sought a seat in the Canadian House of Commons in the riding of Vaudreuil-Soulanges.	"
"	Two years later he was elected in the riding of Westmount<b><font color=""purple"">Ville-Marie</font></b> in <b><font color=""purple"">downtown Montreal</font></b>, winning by over 9000 votes.	"
"	<b><font color=""purple"">He</font></b> was re-elected to the House of Commons in the 2011 federal election by 642 votes.	"
"	In November 2012, <b><font color=""purple"">Garneau</font></b> announced that he intends to seek the leadership of <b><font color=""purple"">the federal Liberal Party</font></b>.	"
"	<b><font color=""purple"">He</font></b> dropped out of the race on March 13, 2013, to support Justin Trudeau.	"
"	<b><font color=""purple"">Joseph Jean-Pierre <b><font color=""purple"">Marc</font></b> Garneau</font></b> was born on February 23, 1949, in <b><font color=""purple"">Quebec City</font></b>, Quebec, Canada.	"
"	<b><font color=""purple"">He</font></b> attended primary and secondary schools in <b><font color=""purple"">Quebec</font></b> City and Saint-Jean.	"
	null	
"	From 1982 to 1983, he attended the Canadian Forces College in Toronto.	"
"	In 1974, <b><font color=""purple"">Garneau</font></b> began his career in the Royal Canadian Navy as a Navy combat systems engineer on HMCS Algonquin.	"
"	<b><font color=""purple"">He</font></b> was promoted to Commander in 1982 while at Staff College and was transferred to Ottawa in 1983.	"
"	In January 1986, he was promoted to Naval Captain and retired from the Navy in 1989.	"
"	<b><font color=""purple"">Garneau</font></b> was one of the first <b><font color=""purple"">Canadian</font></b> <b><font color=""purple"">Astronauts</font></b> and he became the first <b><font color=""purple"">Canadian</font></b> in outer space in October 1984.	"
"	In 1984, he was seconded to the new Canadian Astronaut Program (CAP), one of six chosen from over 4,000 applicants.	"
"	<b><font color=""purple"">He</font></b> flew on the shuttle Challenger, <b><font color=""purple"">STS-41-G</font></b> from October 5 to 13, 1984, as payload specialist.	"
"	<b><font color=""purple"">He</font></b> was promoted to Captain in 1986, and left the Navy in 1989, to become deputy director of the CAP.	"
"	In 1992-93, he underwent further training to become a mission specialist.	"
	null	
"	<b><font color=""purple"">He</font></b> has logged over 677 hours in space.	"
"	In February 2001, he was appointed executive vice-president of the Canadian Space Agency, and became its president on November 22, 2001.	"
	null	
	null	
"	In the <b><font color=""purple"">2006</font></b> <b><font color=""purple"">Liberal Party</font></b> <b><font color=""purple"">leadership election</font></b> <b><font color=""purple"">Garneau</font></b> announced his support for perceived front-runner <b><font color=""purple"">Michael Ignatieff</font></b>, who lost to <b><font color=""purple"">Stphane Dion</font></b> on the final ballot.	"
"	With the resignation of <b><font color=""purple"">Liberal</font></b> MP <b><font color=""purple"">Jean <b><font color=""purple"">Lapierre</font></b></font></b> in 2007, <b><font color=""purple"">Garneau</font></b> expressed interest in being the <b><font color=""purple"">party</font></b>'s candidate in <b><font color=""purple"">Lapierre</font></b>'s former riding of <b><font color=""purple"">Outremont</font></b>.	"
"	Despite his interest in being the Liberal candidate in Outremont, Dion appointed Jocelyn Coulon as the party's candidate for the by-election.	"
"	Coulon went on to be defeated by the <b><font color=""purple"">New Democratic Party</font></b>'s <b><font color=""purple"">Thomas</font></b> <b><font color=""purple"">Mulcair</font></b> in the by-election.	"
	null	
"	However, a week after filing his nomination papers Dion announced that he had hand-picked a candidate for the riding.	"
"	<b><font color=""purple"">Garneau</font></b> later withdrew his nomination <b><font color=""purple"">papers</font></b> and announced he no longer had an interest in <b><font color=""purple"">politics</font></b>.	"
"	In October 2007, <b><font color=""purple"">Garneau and Dion</font></b> held a joint news conference where they announced that <b><font color=""purple"">Garneau</font></b> would be the <b><font color=""purple"">Liberal Party</font></b> candidate in WestmountVille-Marie.	"
"	<b><font color=""purple"">Garneau</font></b> stated he changed his mind about running for politics after meeting with Dion.	"
"	<b><font color=""purple"">Robillard</font></b> announced her resignation as <b><font color=""purple"">Member of Parliament</font></b> in January and a by-election was later scheduled for September 8, 2008.	"
"	However, the by-election was cancelled during the campaign when Prime Minister Stephen Harper called a general election for October 14, 2008.	"
"	Though some pundits predicted a close race between <b><font color=""purple"">Garneau</font></b> and NDP candidate Anne Lagac-Dowson, <b><font color=""purple"">Garneau</font></b> went on to win the riding by over 9,000 votes.	"
"	<b><font color=""purple"">Garneau</font></b> was narrowly reelected in the 2011 election where he beat New Democratic Party candidate Joanne Corbeil.	"
"	<b><font color=""purple"">He</font></b> now serves as Liberal Party House Leader.	"
"	<b><font color=""purple"">He</font></b> was a candidate for interim leadership of <b><font color=""purple"">the Liberal Party</font></b>, but was ultimately defeated by Bob Rae.	"
"	<b><font color=""purple"">Garneau</font></b> announced later that year that he was considering a bid for the permanent leadership of the party.	"
	null	
	null	
"	On January 30, 2013, <b><font color=""purple"">Garneau</font></b> was replaced as Natural Resources critic by Ted Hsu.	"
	null	
"	On November 28, 2012, <b><font color=""purple"">Garneau</font></b> announced his bid for the leadership of <b><font color=""purple"">the Liberal Party</font></b>, placing a heavy focus on the economy.	"
	null	
"	With his entrance into the leadership race he resigned his post as Liberal House Leader, while remaining the party's critic for Natural Resources.	"
	null	
	null	
"	On 13 March 2013 <b><font color=""purple"">Garneau</font></b> announced his withdrawal from the race, and threw his support to front-runner Justin Trudeau.	"
"	<b><font color=""purple"">Garneau</font></b> was appointed an Officer of the Order of Canada in 1984 in recognition of his role as the first Canadian astronaut.	"
"	<b><font color=""purple"">He</font></b> was promoted the rank of Companion within the order in 2003 for his extensive work with <b><font color=""purple"">Canada</font></b>'s space program.	"
"	<b><font color=""purple"">He</font></b> was awarded the Canadian Forces Decoration for 12 years of honourable service with the Canadian Forces.	"
"	<b><font color=""purple"">He</font></b> is honoured with <b><font color=""purple"">a high school</font></b> named after him, <b><font color=""purple"">Marc <b><font color=""purple"">Garneau</font></b> Collegiate Institute</font></b> in Toronto and .S.P.	"
"	Marc-Garneau in Trenton, Ontario.	"
"	<b><font color=""purple"">Garneau</font></b> is the Honorary Captain of the Royal Canadian Sea Cadets.	"
"	In addition, n 599 Royal Canadian Air Cadets squadron is named in his honour.	"
	Harper Mulcair Trudeau Plamondon	
