Sentence
"	<b><font color=""purple"">Michael Lloyd Coats</font></b> (born January 16, 1946 in Sacramento, California) is a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> (three spaceflights), raised in Riverside, California.	"
"	From December 2005 to December 2012, he served as Director of the Johnson Space Center in Houston, Texas.	"
	null	
	null	
"	<b><font color=""purple"">Coats</font></b> graduated from the Naval Academy in 1968 and was designated a Naval Aviator in September 1969.	"
	null	
	null	
"	Following test pilot training in 1974, he was project officer and test pilot for the <b><font color=""purple"">A-7 and A-4</font></b> <b><font color=""purple"">aircraft</font></b> at the <b><font color=""purple"">Strike Aircraft</font></b> Test Directorate.	"
"	<b><font color=""purple"">He</font></b> served as a flight instructor at the U.S. Naval Test Pilot School from April 1976 until May 1977.	"
"	<b><font color=""purple"">He</font></b> then attended the U.S. Naval Postgraduate School at Monterey, California, from June 1977 until his selection for the <b><font color=""purple"">astronaut</font></b> candidate program.	"
"	<b><font color=""purple"">He</font></b> has logged over 5,000 hours flying time in 28 different types of aircraft, and 400 carrier landings.	"
"	Selected as an <b><font color=""purple"">astronaut</font></b> candidate in 1978, <b><font color=""purple"">Coats</font></b> became a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> in August 1979.	"
"	<b><font color=""purple"">He</font></b> was a member of the <b><font color=""purple"">STS-4</font></b> <b><font color=""purple"">astronaut</font></b> support crew, and was a capsule communicator (CAPCOM) for <b><font color=""purple"">STS-4</font></b> and STS-5.	"
"	A veteran of three space flights, <b><font color=""purple"">Coats</font></b> flew on <b><font color=""purple"">STS-41-D</font></b> in 1984, <b><font color=""purple"">STS-29</font></b> in 1989, and <b><font color=""purple"">STS-39</font></b> in 1991.	"
"	From May 1989 to March 1990, he served as Acting Chief of the Astronaut Office.	"
"	On his first mission, <b><font color=""purple"">Coats</font></b> was pilot on the crew of <b><font color=""purple"">STS-41-D</font></b>, which launched from <b><font color=""purple"">Kennedy Space Center</font></b>, Florida, on August 30, 1984.	"
	This was the maiden flight of the Orbiter Discovery.	
	The mission was delayed three times over a two-month period prior to liftoff.	
	null	
	null	
"	The crew earned the name ""Icebusters"" in successfully removing hazardous ice particles from the orbiter using the Remote Manipulator System.	"
"	<b><font color=""purple"">STS-41-D</font></b> completed 96 orbits of the Earth before landing at Edwards Air Force Base, <b><font color=""purple"">California</font></b>, on September 5, 1984.	"
"	In February 1985, <b><font color=""purple"">Coats</font></b> was selected as the commander of STS-61-H, which was subsequently canceled after the Challenger accident.	"
"	As commander of <b><font color=""purple"">STS-29</font></b>, <b><font color=""purple"">Coats</font></b> and his crew launched from <b><font color=""purple"">Kennedy Space Center</font></b> aboard Discovery on March 13, 1989.	"
	null	
"	In addition, the crew took over 3,000 photographs of the earth using several types of cameras, including the IMAX 70mm movie camera.	"
"	Mission duration was 80 orbits and concluded with a landing at Edwards Air Force Base, <b><font color=""purple"">California</font></b>, on March 18, 1989.	"
"	With the completion of his second mission, <b><font color=""purple"">Coats</font></b> has logged a total of 264 hours in space.	"
	null	
	null	
"	After completing 134 orbits of the Earth, Discovery and her crew landed at the Kennedy Space Center, Florida on May 6, 1991.	"
"	With the completion of his third mission, <b><font color=""purple"">Coats</font></b> has logged over 463 hours in space.	"
	null	
"	In November 2005, <b><font color=""purple"">Coats</font></b> was hired as the 10th director of the Johnson Space Center (JSC).	"
"	<b><font color=""purple"">Coats</font></b> retired from <b><font color=""purple"">NASA</font></b> on December 31, 2012.	"
