Sentence
"	<b><font color=""purple"">Pierre Joseph Thuot</font></b> (pronounced THOO-it) is a retired <b><font color=""purple"">United States Navy</font></b> <b><font color=""purple"">Captain</font></b> and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> went into space three times, spending over 650 hours in space, including over 15 hours in three space walks.	"
"	<b><font color=""purple"">He</font></b> is a former <b><font color=""purple"">U.S.</font></b> record holder for time spent on one space walk, and participated in the first three-person space walk.	"
"	Born on May 19, 1955, in Groton, Connecticut, <b><font color=""purple"">Thuot</font></b> considers Fairfax, Virginia and New Bedford, Massachusetts to be his hometowns.	"
"	<b><font color=""purple"">He</font></b> is married to the former Cheryl Ann Mattingly of Leonardtown, Maryland, and they have two children.	"
"	<b><font color=""purple"">Thuot</font></b> enjoys boating, <b><font color=""purple"">golf</font></b>, running, music, flying and family <b><font color=""purple"">activities</font></b>.	"
"	<b><font color=""purple"">Thuot</font></b> graduated from Fairfax High School, Fairfax, Virginia, in 1973.	"
	null	
"	<b><font color=""purple"">He</font></b> also graduated from the Harvard Business School Advanced Management Program in 2004.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> held <b><font color=""purple"">the U.S.</font></b> and absolute world records for total time spent on space walks: 8 hours and 29 minutes from 1992 until 2001.	"
"	<b><font color=""purple"">Thuot</font></b> graduated 30th in his class from the U.S. Naval Academy in 1977 and commenced Naval Flight Officer training in July 1977.	"
	null	
"	<b><font color=""purple"">He</font></b> was then assigned to Fighter Squadron 14 (VF-14) and deployed to the Mediterranean and Caribbean Seas aboard the USSJohn F. Kennedy and USSIndependence.	"
"	While assigned to VF-14, he attended the Navy Fighter Weapons School (TOPGUN).	"
"	<b><font color=""purple"">He</font></b> was then selected to attend the U.S. Naval Test Pilot School in May 1982.	"
	null	
"	<b><font color=""purple"">He</font></b> has over 3,500 flight hours in more than 50 different aircraft, and has over 270 carrier landings.	"
"	Selected as <b><font color=""purple"">an astronaut</font></b> by <b><font color=""purple"">NASA</font></b> in June 1985, <b><font color=""purple"">Thuot</font></b> has served in a variety of technical assignments.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> served as the lead <b><font color=""purple"">astronaut</font></b> for Space Station integrated assembly and maintenance operations within the Astronaut Office.	"
"	<b><font color=""purple"">He</font></b> served as Chief of the <b><font color=""purple"">Astronaut</font></b> Office Mission Support Branch, as well as supervising <b><font color=""purple"">Astronaut</font></b> Candidate training for the class of 1995.	"
	null	
	null	
	This mission carried Department of Defense payloads and a number of secondary payloads.	
	null	
	null	
	null	
"	The third space walk, which also included <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Thomas Akers</font></b>, was the first ever three-person space walk.	"
	null	
	null	
	null	
	null	
"	During the spacecraft glow investigation, <b><font color=""purple"">Columbia</font></b>'s orbital altitude was lowered to 105 nautical miles (194km), the lowest ever flown by <b><font color=""purple"">a Space Shuttle</font></b>.	"
	null	
"	With the completion of his third mission, <b><font color=""purple"">Thuot</font></b> has logged over 654 hours in space, including over 17.7 hours on three space walks.	"
"	<b><font color=""purple"">Thuot</font></b> left <b><font color=""purple"">NASA</font></b> in June 1995, and returned to active service with <b><font color=""purple"">the Navy</font></b>.	"
	null	
	null	
