Sentence
	null	
"	A decorated aviator in <b><font color=""purple"">the United States Marine Corps</font></b>, <b><font color=""purple"">Springer</font></b> also flew more than 500 combat sorties during the Vietnam War.	"
"	<b><font color=""purple"">He</font></b> has logged over 237 hours in space and 4,500 hours flying time, including 3,500 hours in jet aircraft.	"
"	<b><font color=""purple"">Springer</font></b> was born in <b><font color=""purple"">St. Louis</font></b>, <b><font color=""purple"">Missouri</font></b>.	"
"	<b><font color=""purple"">He</font></b> was active in the Boy Scouts of America where he achieved its second highest rank, Life Scout.	"
"	<b><font color=""purple"">He</font></b> graduated from Ashland High School in Ashland,Ohio.	"
"	<b><font color=""purple"">He</font></b> received a commission in <b><font color=""purple"">the U.S. Marine Corps</font></b> following his 1964 graduation from <b><font color=""purple"">the United States Naval Academy</font></b> in Annapolis, Maryland.	"
	null	
"	Upon receiving his aviator wings in August 1966, he was assigned to VMFA-513 at the Marine Corps Air Station Cherry Point, North Carolina.	"
"	There <b><font color=""purple"">Springer</font></b> flew F-4 Phantom II fighters.	"
"	<b><font color=""purple"">He</font></b> was subsequently assigned to VMFA-115 at Chu Lai in South Vietnam, where he completed 300 F-4 combat missions.	"
	null	
	null	
"	In March 1971 he was assigned to the 3rd Marine Aircraft Wing at MCAS El Toro, California, where he became Wing operations analysis officer.	"
	null	
	null	
	null	
	In this capacity he performed the first flights in the AH-1T helicopter.	
	null	
"	<b><font color=""purple"">He</font></b> was serving as aide-de-camp for the Commanding General, Fleet Marine Force, Atlantic, when advised of his selection by <b><font color=""purple"">NASA</font></b> in May 1980.	"
"	<b><font color=""purple"">Springer</font></b> became <b><font color=""purple"">an astronaut</font></b> in August 1981.	"
	null	
"	<b><font color=""purple"">He</font></b> worked at mission control in the Lyndon B. Johnson Space Center as the CAPCOM for seven flights between 1984 and 1985.	"
"	<b><font color=""purple"">Springer</font></b> was responsible for Astronaut Office coordination of Design Requirements Reviews and Design Certification Reviews.	"
"	These review efforts encompassed the total recertification and reverification of <b><font color=""purple"">the Shuttle</font></b> prior to STS-26 return to <b><font color=""purple"">flight</font></b> status.	"
"	<b><font color=""purple"">He</font></b> flew as a Mission Specialist on <b><font color=""purple"">STS-29</font></b> in 1989, and <b><font color=""purple"">STS-38</font></b> in 1990.	"
"	<b><font color=""purple"">Springer</font></b> retired from <b><font color=""purple"">NASA</font></b> and <b><font color=""purple"">the U.S. Marine Corps</font></b> in December 1990.	"
"	Space Shuttle Discovery (March 1318, 1989) was launched from Kennedy Space Center.	"
	null	
"	In addition, the crew took over 4,000 photographs of the earth using several types of cameras, including the IMAX 70mm movie camera.	"
"	Mission duration was 119 hours and concluded with a landing at Edwards Air Force Base, California.	"
"	Space Shuttle Atlantis (November 1520, 1990) was launched at night from Kennedy Space Center.	"
	During the five-day mission the crew conducted Department of Defense operations.	
	null	
	null	
