Sentence
"	<b><font color=""purple"">Susan</font></b> Jane <b><font color=""purple"">Helms</font></b> (born February 26, 1958) is a lieutenant general in the United States Air Force and a former NASA astronaut.	"
	null	
	null	
"	While participating in <b><font color=""purple"">ISS</font></b> <b><font color=""purple"">Expedition 2</font></b>, she and Jim Voss conducted an 8 hour and 56 minute spacewalk, the longest to date.	"
"	<b><font color=""purple"">Helms</font></b> was born in Charlotte, <b><font color=""purple"">North Carolina</font></b>, but considers Portland, Oregon, to be her hometown.	"
"	<b><font color=""purple"">She</font></b> enjoys piano and other musical activities, jogging, traveling, reading, computers, and cooking.	"
"	Her parents, Lieutenant Colonel (Retired, USAF) Pat and Dori Helms, reside in Denver, Colorado.	"
"	<b><font color=""purple"">She</font></b> has three sisters.	"
"	<b><font color=""purple"">Helms</font></b> graduated from the U.S. Air Force Academy in 1980.	"
"	<b><font color=""purple"">She</font></b> received her commission and was assigned to Eglin Air Force Base, Florida, as an F-16 weapons separation engineer with the Air Force Armament Laboratory.	"
"	In 1982, she became the lead engineer for F-15 weapons separation.	"
"	In 1984, she was selected to attend graduate school.	"
"	<b><font color=""purple"">She</font></b> received her degree from Stanford University in 1985 and was assigned as an assistant professor of aeronautics at the U.S. Air Force Academy.	"
"	In 1987, she attended the Air Force <b><font color=""purple"">Test Pilot School</font></b> at <b><font color=""purple"">Edwards Air Force Base</font></b>, California.	"
	null	
"	<b><font color=""purple"">She</font></b> was managing the development of a CF-18 flight control system simulation for the Canadian Forces when selected for the astronaut program.	"
	null	
	null	
"	<b><font color=""purple"">She</font></b> then served as deputy director of operations (Technical Training) for <b><font color=""purple"">Air Education and Training Command</font></b> at <b><font color=""purple"">Randolph Air Force Base</font></b> near <b><font color=""purple"">San Antonio</font></b>, <b><font color=""purple"">Texas</font></b>.	"
"	<b><font color=""purple"">She</font></b> was promoted to brigadier general in June 2006 and became commander of the 45th Space Wing on the same day of her promotion.	"
"	<b><font color=""purple"">Helms</font></b> was promoted to major general in August 2009.	"
"	<b><font color=""purple"">She</font></b> served as the Director of Plans and Policy, <b><font color=""purple"">U.S. Strategic Command</font></b>, <b><font color=""purple"">Offutt Air Force Base</font></b>, <b><font color=""purple"">Nebraska</font></b>.	"
	null	
	null	
	null	
"	In 2013, <b><font color=""purple"">Helms</font></b> was nominated by President Obama to become vice commander of the Air Force Space Command.	"
"	Her nomination, however, was held up by questions from Senator Claire McCaskill because <b><font color=""purple"">Helms</font></b> had dismissed charges in a sexual-assault case.	"
	null	
	null	
"	In addition, Gen Helms's lawyer agreed with her decision and wrote to the Wall Street Journal in her defense.	"
	null	
"	The Washington Post referenced the official memo and reported that <b><font color=""purple"">Helms</font></b> had found the accused to be more credible.	"
	null	
	null	
	The Senate Armed Services Committee confirmed that her nomination as vice commander of Air Force Space Command had been withdrawn.	
"	Selected by NASA in January 1990, <b><font color=""purple"">Helms</font></b> became an astronaut in July 1991.	"
	null	
"	A veteran of five space flights, <b><font color=""purple"">Helms</font></b> logged 5,064 hours in space, including an EVA of 8 hours and 56 minutes (world record).	"
"	STS-54 Endeavour, January 1319, 1993.	"
	The primary objective of this mission was the deployment of a $200-million NASA Tracking and Data Relay Satellite (TDRS-F).	
	null	
"	The crew demonstrated the physics <b><font color=""purple"">principles</font></b> of everyday toys to an interactive audience of elementary school students across <b><font color=""purple"">the United States</font></b>.	"
	A highly successful extra-vehicular activity (EVA) resulted in many lessons learned that will benefit International Space Station assembly.	
"	Mission duration was 5 days, 23 hours, 38 minutes, 17 seconds.	"
"	STS-64 Discovery, September 920, 1994.	"
"	On this flight, <b><font color=""purple"">Helms</font></b> served as the flight engineer for orbiter operations and the primary RMS operator aboard Space Shuttle.	"
	null	
	null	
	null	
"	Mission duration was 10 days, 22 hours, 51 minutes.	"
	null	
	null	
	The Life and Microgravity Spacelab mission served as a model for future studies on board the International Space Station.	
"	Mission duration was 16 days, 21 hours, 48 minutes.	"
"	STS-101 Atlantis, May 1929, 2000, was a mission dedicated to the delivery and repair of critical hardware for the International Space Station.	"
"	<b><font color=""purple"">Helms</font></b> prime responsibilities during this mission were to perform critical repairs to extend the life of the Functional Cargo Block (FGB).	"
"	In addition, she had prime responsibility of the onboard computer network and served as the mission specialist for rendezvous with the ISS.	"
"	Mission duration was 9 days, 20 hours and 9 minutes.	"
	null	
	null	
	null	
"	During her stay on board, <b><font color=""purple"">Helms</font></b> installed the airlock (brought up on the STS-104 mission) using the SSRM.	"
	null	
	On March 11 she performed a world-record 8 hour and 56 minute space walk to install hardware to the external body of the laboratory module.	
"	<b><font color=""purple"">Helms</font></b> spent a total of 163 days aboard the space station.	"
"	<b><font color=""purple"">She</font></b> returned to earth with the STS-105 crew aboard Discovery on August 22, 2001.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
