Sentence
"	<b><font color=""purple"">Takuya Onishi</font></b> (?? ??, ?nishi <b><font color=""purple"">Takuya</font></b>, born 1975) is a <b><font color=""purple"">Japanese</font></b> <b><font color=""purple"">astronaut</font></b> from <b><font color=""purple"">JAXA</font></b>, who was selected in 2009.	"
"	<b><font color=""purple"">Onishi</font></b> was born in Nerima, Tokyo, Japan.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> completed two years of basic flight training in Bakersfield, California and one year of advanced flight training in Tokyo.	"
"	<b><font color=""purple"">He</font></b> was promoted to co-pilot of Boeing 767 airplanes in October 2003 and flew both domestic and international routes.	"
	null	
"	Starting in April 2009, he attended the ISS <b><font color=""purple"">Astronaut</font></b> Basic Training domestic program at Tsukuba Space Center in <b><font color=""purple"">Japan</font></b>.	"
"	<b><font color=""purple"">Onishi</font></b> arrived at <b><font color=""purple"">NASA</font></b>'s Johnson <b><font color=""purple"">Space</font></b> <b><font color=""purple"">Center</font></b> in Houston, Texas, in August 2009.	"
	null	
	null	
	null	
"	Delayed by stormy weather and high seas, the mission began on October 20, 2011.	"
"	On the afternoon of October 21, <b><font color=""purple"">Onishi</font></b> and his crewmates officially became aquanauts, having spent over 24 hours underwater.	"
	NEEMO 15 ended early on October 26 due to the approach of Hurricane Rina.	
"	<b><font color=""purple"">Onishi</font></b> is married and enjoys flying, playing the saxophone, movies and hiking.	"
"	This article incorporatespublic domain material from the <b><font color=""purple"">National</font></b> Aeronautics and <b><font color=""purple"">Space</font></b> Administration <b><font color=""purple"">document</font></b> ""<b><font color=""purple"">NASA</font></b> - Meet the <b><font color=""purple"">NEEMO</font></b> 15 Crew"" (retrieved on 2011-09-19).	"
