Sentence
"	<b><font color=""purple"">Vladimr Remek</font></b> (born 26 September 1948 in <b><font color=""purple"">?esk Bud?jovice</font></b>, <b><font color=""purple"">Czechoslovakia</font></b>) is a <b><font color=""purple"">Czech</font></b> politican, diplomat and sales representative, and a former cosmonaut and military pilot.	"
"	<b><font color=""purple"">He</font></b> is the first Czechoslovak in space and the first cosmonaut from <b><font color=""purple"">a country</font></b> other than <b><font color=""purple"">the Soviet Union</font></b> or <b><font color=""purple"">the United States</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> flew aboard Soyuz 28 from March 2 to March 10, 1978, for seven days, 22 hours, and 17 minutes.	"
	In 2004 he was elected into the European Parliament.	
"	<b><font color=""purple"">Vladimr Remek</font></b> was born in <b><font color=""purple"">?esk Bud?jovice</font></b> to <b><font color=""purple"">Czech</font></b> mother and Slovak father.	"
	null	
"	In 1970 Vladimr <b><font color=""purple"">Remek</font></b> became military pilot.	"
"	In 1976 he finished a Gagarin Air Force Academy in Monino, Moscow Region.	"
"	<b><font color=""purple"">Remek</font></b> joined the Intercosmos program in 1976; his backup was Old?ich Pel?k.	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> was elected again into the European Parliament in 2009 European Parliament election.	"
"	The asteroid 2552 <b><font color=""purple"">Remek</font></b> is named after him.	"
"	Media related to Vladimr <b><font color=""purple"">Remek</font></b> at Wikimedia Commons	"
